Date,Song Title,Artist,Album,Duration
2025-02-22,Laho,Shallipopi,Shallipopi,2:24
2025-02-22,So it Goes,Black Sherif,Black Sherif,3:43
2025-02-22,Lord I'm Amazed,Black Sherif,Black Sherif,2:26
2025-02-22,Baby (Is It A Crime),Rema,Rema,2:44
2025-02-22,Excellent,KOJO BLAK,KOJO BLAK,2:40
2025-02-22,BANG BANG BANG,Beeztrap Kotm,Beeztrap Kotm,3:36
2025-02-22,Joy is Coming,Fido,Fido,3:08
2025-02-22,God Is The Greatest,Vybz Kartel,Vybz Kartel,3:00
2025-02-22,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-02-22,Venus,Faceless,Faceless,2:19
2025-02-22,Jesus Christ 2 (feat. Black Sherif),AratheJay,AratheJay,3:37
2025-02-22,Agyekum,Kweku Smoke,Kweku Smoke,2:58
2025-02-22,Hold Tight,Kweku Smoke,Kweku Smoke,3:33
2025-02-22,PITY THIS BOY,ODUMODUBLVCK,ODUMODUBLVCK,2:45
2025-02-22,25,Rod Wave,Rod Wave,3:00
2025-02-22,Rebel Music,Black Sherif,Black Sherif,2:41
2025-02-22,WHY LOVE,Asake,Asake,3:30
2025-02-22,Young Boy,Kweku Smoke,Kweku Smoke,2:15
2025-02-22,MARIO KART,Seyi Vibez,Seyi Vibez,2:51
2025-02-22,Holy Ghost,Kweku Smoke,Kweku Smoke,3:17
2025-02-22,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-02-22,Born in Hell,Kweku Smoke,Kweku Smoke,2:15
2025-02-22,SHAOLIN,Seyi Vibez,Seyi Vibez,2:20
2025-02-22,Pxy Drip,Naira Marley,Naira Marley,2:29
2025-02-22,Sa Me (feat. City Boy),Reggie,Reggie,2:48
