Date,Song Title,Artist,Album,Duration
2025-02-23,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-02-23,"Chuttamalle (From ""Devara Part 1"")",Anirudh Ravichander,Anirudh Ravichander,3:42
2025-02-23,Jhol,Maanu,Maanu,4:25
2025-02-23,YEDA YUNG,YUNG DSA,YUNG DSA,2:39
2025-02-23,Afsos,Anuv Jain,Anuv Jain,3:11
2025-02-23,Timeless,The Weeknd,The Weeknd,4:16
2025-02-23,APT.,ROSÉ,ROSÉ,2:49
2025-02-23,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-02-23,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-02-23,Cry For Me,The Weeknd,The Weeknd,3:44
2025-02-23,"Mayavi (From ""Bhoomi 2024"")",Sonu Nigam,Sonu Nigam,4:18
2025-02-23,Ishq Hai,Anurag Saikia,Anurag Saikia,5:12
2025-02-23,Jo Tum Mere Ho,Anuv Jain,Anuv Jain,4:11
2025-02-23,All The Stars,Kendrick Lamar,Kendrick Lamar,3:52
2025-02-23,"Aasa Kooda (From ""Think Indie"")",Sai Abhyankkar,Sai Abhyankkar,3:35
2025-02-23,"Apna Bana Le (From ""Bhediya"")",Arijit Singh,Arijit Singh,4:21
2025-02-23,"Pathikichu (From ""Vidaamuyarchi"")",Anirudh Ravichander,Anirudh Ravichander,3:28
2025-02-23,São Paulo,The Weeknd,The Weeknd,5:01
2025-02-23,"Sithira Puthiri (From ""Think Indie"")",Sai Abhyankkar,Sai Abhyankkar,3:46
2025-02-23,Peelings - TELUGU,Shankarr Babu Kandukoori,Shankarr Babu Kandukoori,4:07
2025-02-23,"Aaya Re Toofan (From ""Chhaava"")",A.R. Rahman,A.R. Rahman,4:39
2025-02-23,"Illuminati (From ""Aavesham"")",Sushin Shyam,Sushin Shyam,3:32
2025-02-23,Kabira,Pritam,Pritam,3:43
2025-02-23,Husn,Anuv Jain,Anuv Jain,3:37
2025-02-23,"Raanjhan (From ""Do Patti"")",Sachet-Parampara,Sachet-Parampara,4:00
