Date,Song Title,Artist,Album,Duration
2025-02-23,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-02-23,APT.,ROSÉ,ROSÉ,2:49
2025-02-23,Messy,Lola Young,Lola Young,4:44
2025-02-23,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-02-23,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-02-23,Pink Pony Club,Chappell Roan,Chappell Roan,4:18
2025-02-23,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-02-23,NOKIA,Drake,Drake,4:01
2025-02-23,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-02-23,SOMEBODY LOVES ME,PARTYNEXTDOOR,PARTYNEXTDOOR,3:02
2025-02-23,Beautiful Things,Benson Boone,Benson Boone,3:00
2025-02-23,GIMME A HUG,Drake,Drake,3:13
2025-02-23,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-02-23,Sports car,Tate McRae,Tate McRae,2:45
2025-02-23,Crush (feat. Jorja Smith),AJ Tracey,AJ Tracey,3:18
2025-02-23,Revolving door,Tate McRae,Tate McRae,3:00
2025-02-23,A Bar Song (Tipsy),Shaboozey,Shaboozey,2:51
2025-02-23,Espresso,Sabrina Carpenter,Sabrina Carpenter,2:55
2025-02-23,tv off (feat. Lefty Gunplay),Kendrick Lamar,Kendrick Lamar,3:40
2025-02-23,Baby (Is It A Crime),Rema,Rema,2:44
2025-02-23,Who,Jimin,Jimin,2:50
2025-02-23,All The Stars,Kendrick Lamar,Kendrick Lamar,3:52
2025-02-23,Timeless,The Weeknd,The Weeknd,4:16
2025-02-23,Ordinary,Alex Warren,Alex Warren,3:06
2025-02-23,Busy Woman,Sabrina Carpenter,Sabrina Carpenter,3:06
