Date,Song Title,Artist,Album,Duration
2025-03-03,Wackelkontakt,Oimara,Oimara,2:48
2025-03-03,APT.,ROSÉ,ROSÉ,2:49
2025-03-03,tau mich auf,Zartmann,Zartmann,1:50
2025-03-03,A N X I E T Y (feat. Doechii),Sleepy Hallow,Sleepy Hallow,2:28
2025-03-03,Wie?,AYLIVA,AYLIVA,2:53
2025-03-03,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-03-03,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-03,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-03-03,The Emptiness Machine,LINKIN PARK,LINKIN PARK,3:10
2025-03-03,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-03,Messy,Lola Young,Lola Young,4:44
2025-03-03,Ordinary,Alex Warren,Alex Warren,3:06
2025-03-03,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-03-03,A Bar Song (Tipsy),Shaboozey,Shaboozey,2:51
2025-03-03,Timeless,The Weeknd,The Weeknd,4:16
2025-03-03,Sports car,Tate McRae,Tate McRae,2:45
2025-03-03,LV Bag (feat. Pharrell Williams),Don Toliver,Don Toliver,3:02
2025-03-03,Verwandtschaftstreffen,RIAN,RIAN,2:45
2025-03-03,Beautiful Things,Benson Boone,Benson Boone,3:00
2025-03-03,Revolving door,Tate McRae,Tate McRae,3:00
2025-03-03,Wenn der Himmel weint,Bausa,Bausa,2:08
2025-03-03,Schau mal herein,Helene Fischer,Helene Fischer,3:03
2025-03-03,Bad Dreams,Teddy Swims,Teddy Swims,3:04
2025-03-03,"Good Luck, Babe!",Chappell Roan,Chappell Roan,3:38
2025-03-03,luther,Kendrick Lamar,Kendrick Lamar,2:57
