Date,Song Title,Artist,Album,Duration
2025-03-04,Tell Me,Karan Aujla,Karan Aujla,3:06
2025-03-04,NOKIA,Drake,Drake,4:01
2025-03-04,Police,Cheema Y,Cheema Y,2:21
2025-03-04,Young G.O.A.T,Cheema Y,Cheema Y,3:45
2025-03-04,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-03-04,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-04,Vancouver,Cheema Y,Cheema Y,2:43
2025-03-04,Sports car,Tate McRae,Tate McRae,2:45
2025-03-04,DIE TRYING,PARTYNEXTDOOR,PARTYNEXTDOOR,3:15
2025-03-04,Pink Pony Club,Chappell Roan,Chappell Roan,4:18
2025-03-04,Revolving door,Tate McRae,Tate McRae,3:00
2025-03-04,tv off (feat. Lefty Gunplay),Kendrick Lamar,Kendrick Lamar,3:40
2025-03-04,Timeless,The Weeknd,The Weeknd,4:16
2025-03-04,APT.,ROSÉ,ROSÉ,2:49
2025-03-04,A Bar Song (Tipsy),Shaboozey,Shaboozey,2:51
2025-03-04,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-03-04,Wavy,Karan Aujla,Karan Aujla,2:41
2025-03-04,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-04,I Had Some Help (feat. Morgan Wallen),Post Malone,Post Malone,2:58
2025-03-04,Gears,Arjan Dhillon,Arjan Dhillon,2:30
2025-03-04,I'm The Problem,Morgan Wallen,Morgan Wallen,2:57
2025-03-04,Messy,Lola Young,Lola Young,4:44
2025-03-04,A N X I E T Y (feat. Doechii),Sleepy Hallow,Sleepy Hallow,2:28
2025-03-04,Dear god,Tate McRae,Tate McRae,2:51
2025-03-04,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
