Date,Song Title,Artist,Album,Duration
2025-03-07,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-03-07,ANXIETY (feat. Doechii),Sleepy Hallow,Sleepy Hallow,2:28
2025-03-07,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-07,APT.,ROSÉ,ROSÉ,2:49
2025-03-07,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-07,Messy,Lola Young,Lola Young,4:44
2025-03-07,Dom Nad Wodą,Pezet,Pezet,3:14
2025-03-07,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-03-07,KOCHASZ?,Sobel,Sobel,2:32
2025-03-07,Timeless,The Weeknd,The Weeknd,4:16
2025-03-07,São Paulo,The Weeknd,The Weeknd,5:01
2025-03-07,Revolving door,Tate McRae,Tate McRae,3:00
2025-03-07,Bad Dreams,Teddy Swims,Teddy Swims,3:04
2025-03-07,Anxiety,Doechii,Doechii,4:09
2025-03-07,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-03-07,Cry For Me,The Weeknd,The Weeknd,3:44
2025-03-07,Sports car,Tate McRae,Tate McRae,2:45
2025-03-07,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-03-07,WILDFLOWER,Billie Eilish,Billie Eilish,4:21
2025-03-07,Espresso,Sabrina Carpenter,Sabrina Carpenter,2:55
2025-03-07,не расслабляйся,Skryptonite,Skryptonite,2:44
2025-03-07,NINAO,GIMS,GIMS,2:47
2025-03-07,ПОВОД,MORGENSHTERN,MORGENSHTERN,2:33
2025-03-07,Lose Control,Teddy Swims,Teddy Swims,3:30
2025-03-07,"ДОМ (Лондон, Прага, Ницца)",MORGENSHTERN,MORGENSHTERN,2:33
