Date,Song Title,Artist,Album,Duration
2025-03-11,Vanish Into You,Lady Gaga,Lady Gaga,4:04
2025-03-11,Garden Of Eden,Lady Gaga,Lady Gaga,3:59
2025-03-11,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-03-11,Mãe Solteira,DG e Batidão Stronda,DG e Batidão Stronda,2:24
2025-03-11,Resenha do Arrocha,J. Eskine,J. Eskine,5:54
2025-03-11,Motinha 2.0,DENNIS,DENNIS,1:58
2025-03-11,Sei Que Tu Me Odeia,Anitta,Anitta,2:40
2025-03-11,APT.,ROSÉ,ROSÉ,2:49
2025-03-11,like JENNIE,JENNIE,JENNIE,2:03
2025-03-11,ExtraL,JENNIE,JENNIE,2:47
2025-03-11,"Oh Garota Eu Quero Você Só Pra Mim (feat. MC K9, MC Rodrigo do CN & mc pl alves)",Oruam,Oruam,2:46
2025-03-11,Coração Partido (Corazón Partío) [Ao Vivo],Grupo Menos É Mais,Grupo Menos É Mais,3:15
2025-03-11,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-03-11,Espresso,Sabrina Carpenter,Sabrina Carpenter,2:55
2025-03-11,Lei Anti o.R.U.a.M (feat. Victor WAO & Maurin),Oruam,Oruam,2:38
2025-03-11,Anxiety,Doechii,Doechii,4:09
2025-03-11,Handlebars,JENNIE,JENNIE,3:04
2025-03-11,Fashion,Orochi,Orochi,3:33
2025-03-11,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-11,Acima De Mim Só Deus,Filipe Ret,Filipe Ret,2:30
2025-03-11,WILDFLOWER,Billie Eilish,Billie Eilish,4:21
2025-03-11,Beautiful Things,Benson Boone,Benson Boone,3:00
2025-03-11,ROMEO,Anitta,Anitta,3:10
2025-03-11,Cacos De Vidro,BK,BK,2:29
2025-03-11,DtMF,Bad Bunny,Bad Bunny,3:57
