Date,Song Title,Artist,Album,Duration
2025-03-11,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-03-11,NOKIA,Drake,Drake,4:01
2025-03-11,Loco,Neton Vega,Neton Vega,3:06
2025-03-11,tv off (feat. Lefty Gunplay),Kendrick Lamar,Kendrick Lamar,3:40
2025-03-11,ME JALO,Fuerza Regida,Fuerza Regida,3:32
2025-03-11,squabble up,Kendrick Lamar,Kendrick Lamar,2:37
2025-03-11,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-11,Por Esos Ojos,Fuerza Regida,Fuerza Regida,3:08
2025-03-11,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-11,Morena,Neton Vega,Neton Vega,3:13
2025-03-11,TATTOO,Tito Double P,Tito Double P,2:47
2025-03-11,30 For 30 (with Kendrick Lamar),SZA,SZA,4:38
2025-03-11,7 Días,Gabito Ballesteros,Gabito Ballesteros,3:00
2025-03-11,DtMF,Bad Bunny,Bad Bunny,3:57
2025-03-11,DOS DÍAS,Tito Double P,Tito Double P,2:33
2025-03-11,Mi Vida Mi Muerte,Neton Vega,Neton Vega,2:55
2025-03-11,DIE TRYING,PARTYNEXTDOOR,PARTYNEXTDOOR,3:15
2025-03-11,NADIE,Tito Double P,Tito Double P,3:17
2025-03-11,Te Quería Ver,Alemán,Alemán,2:56
2025-03-11,M&M,Neton Vega,Neton Vega,2:46
2025-03-11,Tu Boda,Óscar Maydon,Óscar Maydon,3:45
2025-03-11,APT.,ROSÉ,ROSÉ,2:49
2025-03-11,LA PATRULLA,Peso Pluma,Peso Pluma,2:10
2025-03-11,Timeless,The Weeknd,The Weeknd,4:16
2025-03-11,Anxiety,Doechii,Doechii,4:09
