Date,Song Title,Artist,Album,Duration
2025-03-12,La Plena (W Sound 05),W Sound,W Sound,2:30
2025-03-12,Mi Refe,Beéle,Beéle,2:39
2025-03-12,sobelove,Beéle,Beéle,2:11
2025-03-12,BAILE INoLVIDABLE,Bad Bunny,Bad Bunny,6:07
2025-03-12,DtMF,Bad Bunny,Bad Bunny,3:57
2025-03-12,VeLDÁ,Bad Bunny,Bad Bunny,3:55
2025-03-12,VITAMINA,Jombriel,Jombriel,3:28
2025-03-12,Volver,Piso 21,Piso 21,3:52
2025-03-12,Ultra Complicado (feat. Sebas),Kenny Die,Kenny Die,4:17
2025-03-12,Rio,J Balvin,J Balvin,3:08
2025-03-12,Hasta Aquí Llegué,Nanpa Básico,Nanpa Básico,3:08
2025-03-12,"+57 (feat. Ovy On the Drums, J Balvin, Maluma, Ryan Castro & Blessd)",KAROL G,KAROL G,4:58
2025-03-12,PERRO NEGRO,Bad Bunny,Bad Bunny,2:42
2025-03-12,I Miss You,Beéle,Beéle,2:53
2025-03-12,SORRY 4 THAT MUCH,Feid,Feid,3:27
2025-03-12,Si Antes Te Hubiera Conocido,KAROL G,KAROL G,3:15
2025-03-12,LUNA,Feid,Feid,3:16
2025-03-12,capaz (merengueton),Alleh,Alleh,2:53
2025-03-12,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-12,Qué Pasaría...,Rauw Alejandro,Rauw Alejandro,3:11
2025-03-12,Moscow Mule,Bad Bunny,Bad Bunny,4:05
2025-03-12,"ACEITE DE COCO (feat. Ryan Castro, De La Ghetto, Darell, Sahir, Hades66, Kris R.)",Blessd,Blessd,6:41
2025-03-12,Vete,Bad Bunny,Bad Bunny,3:12
2025-03-12,Tití Me Preguntó,Bad Bunny,Bad Bunny,4:03
2025-03-12,Khé?,Rauw Alejandro,Rauw Alejandro,3:26
