Date,Song Title,Artist,Album,Duration
2025-03-12,Pink Pony Club,Chappell Roan,Chappell Roan,4:18
2025-03-12,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-03-12,Taste,Sabrina Carpenter,Sabrina Carpenter,2:37
2025-03-12,Ordinary,Alex Warren,Alex Warren,3:06
2025-03-12,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-03-12,Messy,Lola Young,Lola Young,4:44
2025-03-12,Espresso,Sabrina Carpenter,Sabrina Carpenter,2:55
2025-03-12,Bed Chem,Sabrina Carpenter,Sabrina Carpenter,2:51
2025-03-12,Busy Woman,Sabrina Carpenter,Sabrina Carpenter,3:06
2025-03-12,Juno,Sabrina Carpenter,Sabrina Carpenter,3:43
2025-03-12,APT.,ROSÉ,ROSÉ,2:49
2025-03-12,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-12,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-12,Anxiety,Doechii,Doechii,4:09
2025-03-12,Sports car,Tate McRae,Tate McRae,2:45
2025-03-12,How Bad Do U Want Me,Lady Gaga,Lady Gaga,3:58
2025-03-12,Vanish Into You,Lady Gaga,Lady Gaga,4:04
2025-03-12,Revolving door,Tate McRae,Tate McRae,3:00
2025-03-12,"Good Luck, Babe!",Chappell Roan,Chappell Roan,3:38
2025-03-12,15 Minutes,Sabrina Carpenter,Sabrina Carpenter,3:11
2025-03-12,A Bar Song (Tipsy),Shaboozey,Shaboozey,2:51
2025-03-12,Good Graces,Sabrina Carpenter,Sabrina Carpenter,3:05
2025-03-12,Bad Dreams,Teddy Swims,Teddy Swims,3:04
2025-03-12,Nice To Meet You,Myles Smith,Myles Smith,2:56
2025-03-12,Beautiful Things,Benson Boone,Benson Boone,3:00
