Date,Song Title,Artist,Album,Duration
2025-03-12,Lilac,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:48
2025-03-12,Kaiju,sakanaction,sakanaction,4:12
2025-03-12,Rock This Party,timelesz,timelesz,3:45
2025-03-12,Darling,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:40
2025-03-12,Run,timelesz,timelesz,3:55
2025-03-12,HEART,King & Prince,King & Prince,3:48
2025-03-12,Soranji,Mrs. GREEN APPLE,Mrs. GREEN APPLE,5:44
2025-03-12,APT.,ROSÉ,ROSÉ,2:49
2025-03-12,Que Sera Sera,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:32
2025-03-12,Can't we just be cute? -Kawaii Dakejya Damedesuka?,CUTIE STREET,CUTIE STREET,4:11
2025-03-12,BOW AND ARROW,Kenshi Yonezu,Kenshi Yonezu,2:55
2025-03-12,Miss Luxury,YZERR,YZERR,4:33
2025-03-12,Bokuno Koto,Mrs. GREEN APPLE,Mrs. GREEN APPLE,5:21
2025-03-12,Kaiju no Hanauta,VAUNDY,VAUNDY,3:44
2025-03-12,Ao To Natsu,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:30
2025-03-12,Bitter Vacances,Mrs. GREEN APPLE,Mrs. GREEN APPLE,3:18
2025-03-12,Tenbyouno Uta (feat. Sonoko Inoue),Mrs. GREEN APPLE,Mrs. GREEN APPLE,5:07
2025-03-12,Gyutto,timelesz,timelesz,3:40
2025-03-12,Jinseiyugi,timelesz,timelesz,3:01
2025-03-12,doppelgänger,Creepy Nuts,Creepy Nuts,2:47
2025-03-12,Dance Hall,Mrs. GREEN APPLE,Mrs. GREEN APPLE,3:23
2025-03-12,Plazma,Kenshi Yonezu,Kenshi Yonezu,3:00
2025-03-12,Otonoke,Creepy Nuts,Creepy Nuts,3:05
2025-03-12,Ikuokukonen,Omoinotake,Omoinotake,4:36
2025-03-12,Bling-Bang-Bang-Born,Creepy Nuts,Creepy Nuts,2:48
