Date,Song Title,Artist,Album,Duration
2025-03-14,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-03-14,NOKIA,Drake,Drake,4:01
2025-03-14,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-14,30 For 30 (with Kendrick Lamar),SZA,SZA,4:38
2025-03-14,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-14,APT.,ROSÉ,ROSÉ,2:49
2025-03-14,tv off (feat. Lefty Gunplay),Kendrick Lamar,Kendrick Lamar,3:40
2025-03-14,Anxiety,Doechii,Doechii,4:09
2025-03-14,Only Jah Jah Knows,Kanaka Fyah,Kanaka Fyah,3:32
2025-03-14,squabble up,Kendrick Lamar,Kendrick Lamar,2:37
2025-03-14,Back 2 My Roots,Rebel Souljahz,Rebel Souljahz,3:59
2025-03-14,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-03-14,MUTT,Leon Thomas,Leon Thomas,3:13
2025-03-14,Every Night Every Morning,Maoli,Maoli,3:17
2025-03-14,Snooze,SZA,SZA,3:21
2025-03-14,Pink Pony Club,Chappell Roan,Chappell Roan,4:18
2025-03-14,Sand In My Boots,High Watah,High Watah,3:15
2025-03-14,WILDFLOWER,Billie Eilish,Billie Eilish,4:21
2025-03-14,like JENNIE,JENNIE,JENNIE,2:03
2025-03-14,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-03-14,Timeless,The Weeknd,The Weeknd,4:16
2025-03-14,Keeping Score,High Watah,High Watah,3:33
2025-03-14,I Had Some Help (feat. Morgan Wallen),Post Malone,Post Malone,2:58
2025-03-14,Espresso,Sabrina Carpenter,Sabrina Carpenter,2:55
2025-03-14,Revolving door,Tate McRae,Tate McRae,3:00
