Date,Song Title,Artist,Album,Duration
2025-03-14,LA CURA PER ME,Giorgia,Giorgia,3:35
2025-03-14,Balorda nostalgia,Olly,Olly,3:17
2025-03-14,ANEMA E CORE,Serena Brancale,Serena Brancale,2:46
2025-03-14,Incoscienti Giovani,Achille Lauro,Achille Lauro,3:24
2025-03-14,BATTITO,Fedez,Fedez,3:14
2025-03-14,CHIAMO IO CHIAMI TU,GAIA,GAIA,3:38
2025-03-14,Dimenticarsi alle 7,Elodie,Elodie,3:34
2025-03-14,Volevo essere un duro,Lucio Corsi,Lucio Corsi,3:05
2025-03-14,"PEZZI DA NOVANTA (feat. MV Killa, Yung Snapp, Lele Blade, Vale Lambo, Frezza)",SLF,SLF,3:14
2025-03-14,Anxiety,Doechii,Doechii,4:09
2025-03-14,TU CON CHI FAI L'AMORE,The Kolors,The Kolors,3:27
2025-03-14,La Mia Parola (feat. Tormento),Shablo,Shablo,2:50
2025-03-14,CUORICINI,Coma_Cose,Coma_Cose,3:14
2025-03-14,Oh Mamma Mia,Guè,Guè,2:48
2025-03-14,fuorilegge,Rose Villain,Rose Villain,3:41
2025-03-14,il ritmo delle cose.,Rkomi,Rkomi,3:12
2025-03-14,Se t'innamori muori,Noemi,Noemi,3:10
2025-03-14,MILLE VOTE ANCORA,Rocco Hunt,Rocco Hunt,3:12
2025-03-14,DtMF,Bad Bunny,Bad Bunny,3:57
2025-03-14,VERTEBRE,SETTEMBRE,SETTEMBRE,2:50
2025-03-14,La tana del granchio,Bresh,Bresh,3:29
2025-03-14,Un mondo a parte,Jovanotti,Jovanotti,4:00
2025-03-14,Amarcord,Sarah Toscano,Sarah Toscano,3:03
2025-03-14,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-03-14,L'albero delle noci,Brunori Sas,Brunori Sas,3:56
