Date,Song Title,Artist,Album,Duration
2025-03-15,Wavy,Karan Aujla,Karan Aujla,2:41
2025-03-15,Jhol,Maanu,Maanu,4:25
2025-03-15,Afsos,Anuv Jain,Anuv Jain,3:11
2025-03-15,Balam Pichkari,Pritam,Pritam,4:48
2025-03-15,Tell Me,Karan Aujla,Karan Aujla,3:06
2025-03-15,Water,Diljit Dosanjh,Diljit Dosanjh,3:16
2025-03-15,Tension,Diljit Dosanjh,Diljit Dosanjh,2:48
2025-03-15,Police,Cheema Y,Cheema Y,2:21
2025-03-15,Paro,Aditya Rikhari,Aditya Rikhari,1:10
2025-03-15,Antidote,Karan Aujla,Karan Aujla,3:07
2025-03-15,Hori Khele Raghuveera,Amitabh Bachchan,Amitabh Bachchan,5:39
2025-03-15,"2 Khatole (feat. Manjeet Mor, Chahal Saab & Vikash Rajana)",Masoom Sharma,Masoom Sharma,2:28
2025-03-15,Young G.O.A.T,Cheema Y,Cheema Y,3:45
2025-03-15,Badri Ki Dulhania (Title Track),Dev Negi,Dev Negi,3:26
2025-03-15,On Top,Karan Aujla,Karan Aujla,3:03
2025-03-15,Gundey Dore Pe,Sachin Jaat,Sachin Jaat,2:50
2025-03-15,Beretta (feat. Shivani Yadav),Amanraj Gill,Amanraj Gill,3:08
2025-03-15,Winning Speech,Karan Aujla,Karan Aujla,3:47
2025-03-15,Sifar Safar,Karan Aujla,Karan Aujla,3:00
2025-03-15,Softly,Karan Aujla,Karan Aujla,2:35
2025-03-15,High On You,Jind Universe,Jind Universe,2:20
2025-03-15,Pistol Bole Gi (feat. Kay D & Aarohi Raghav),Masoom Sharma,Masoom Sharma,2:27
2025-03-15,Do Me a Favour (Lets Play Holi),Anu Malik,Anu Malik,6:29
2025-03-15,Blender,Masoom Sharma,Masoom Sharma,2:52
2025-03-15,Tag Awara Ke (feat. Shivani Yadav),Amanraj Gill,Amanraj Gill,3:01
