Date,Song Title,Artist,Album,Duration
2025-03-15,The Giver,Chappell Roan,Chappell Roan,3:22
2025-03-15,EVIL J0RDAN,Playboi Carti,Playboi Carti,3:03
2025-03-15,RATHER LIE,Playboi Carti,Playboi Carti,3:29
2025-03-15,CRUSH,Playboi Carti,Playboi Carti,2:53
2025-03-15,NOKIA,Drake,Drake,4:01
2025-03-15,Ordinary,Alex Warren,Alex Warren,3:06
2025-03-15,Sports car,Tate McRae,Tate McRae,2:45
2025-03-15,Anxiety,Doechii,Doechii,4:09
2025-03-15,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-03-15,Revolving door,Tate McRae,Tate McRae,3:00
2025-03-15,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-15,Timeless,The Weeknd,The Weeknd,4:16
2025-03-15,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-03-15,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-15,APT.,ROSÉ,ROSÉ,2:49
2025-03-15,Pink Pony Club,Chappell Roan,Chappell Roan,4:18
2025-03-15,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-03-15,DIE TRYING,PARTYNEXTDOOR,PARTYNEXTDOOR,3:15
2025-03-15,SOMEBODY LOVES ME,PARTYNEXTDOOR,PARTYNEXTDOOR,3:02
2025-03-15,WILDFLOWER,Billie Eilish,Billie Eilish,4:21
2025-03-15,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-03-15,Beautiful Things,Benson Boone,Benson Boone,3:00
2025-03-15,A Bar Song (Tipsy),Shaboozey,Shaboozey,2:51
2025-03-15,Vanish Into You,Lady Gaga,Lady Gaga,4:04
2025-03-15,Sailor Song,Gigi Perez,Gigi Perez,3:31
