Date,Song Title,Artist,Album,Duration
2025-03-15,APT.,ROSÉ,ROSÉ,2:49
2025-03-15,Anxiety,Doechii,Doechii,4:09
2025-03-15,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-15,EVIL J0RDAN,Playboi Carti,Playboi Carti,3:03
2025-03-15,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-03-15,Ordinary,Alex Warren,Alex Warren,3:06
2025-03-15,CRUSH,Playboi Carti,Playboi Carti,2:53
2025-03-15,Wackelkontakt,Oimara,Oimara,2:48
2025-03-15,RATHER LIE,Playboi Carti,Playboi Carti,3:29
2025-03-15,Messy,Lola Young,Lola Young,4:44
2025-03-15,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-03-15,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-15,DtMF,Bad Bunny,Bad Bunny,3:57
2025-03-15,tau mich auf,Zartmann,Zartmann,1:50
2025-03-15,Wie?,AYLIVA,AYLIVA,2:53
2025-03-15,Timeless,The Weeknd,The Weeknd,4:16
2025-03-15,Show Me Love,WizTheMc,WizTheMc,2:56
2025-03-15,Beautiful Things,Benson Boone,Benson Boone,3:00
2025-03-15,ANXIETY (feat. Doechii),Sleepy Hallow,Sleepy Hallow,2:28
2025-03-15,NINAO,GIMS,GIMS,2:47
2025-03-15,A Bar Song (Tipsy),Shaboozey,Shaboozey,2:51
2025-03-15,Vanish Into You,Lady Gaga,Lady Gaga,4:04
2025-03-15,WILDFLOWER,Billie Eilish,Billie Eilish,4:21
2025-03-15,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-03-15,Bad Dreams,Teddy Swims,Teddy Swims,3:04
