Date,Song Title,Artist,Album,Duration
2025-03-16,Mood,KeBlack,KeBlack,2:51
2025-03-16,NINAO,GIMS,GIMS,2:47
2025-03-16,CIEL,GIMS,GIMS,3:06
2025-03-16,Pélican,L2B,L2B,2:45
2025-03-16,La Pluie,Franglish,Franglish,3:56
2025-03-16,CARTIER SANTOS,SDM,SDM,3:03
2025-03-16,Chambre 04,Dj Kawest,Dj Kawest,2:09
2025-03-16,Run,Rim'K,Rim'K,2:59
2025-03-16,Carré OK (feat. GIMS),Soolking,Soolking,2:40
2025-03-16,DIANA,GIMS,GIMS,2:19
2025-03-16,SOIS PAS TIMIDE,GIMS,GIMS,2:45
2025-03-16,4 Kampé,Joé Dwèt Filé,Joé Dwèt Filé,3:34
2025-03-16,APT.,ROSÉ,ROSÉ,2:49
2025-03-16,SPIDER,GIMS,GIMS,3:08
2025-03-16,Anxiety,Doechii,Doechii,4:09
2025-03-16,"Un jour, je l'aurai",Jul,Jul,3:46
2025-03-16,Sous la lune,Jul,Jul,2:51
2025-03-16,DtMF,Bad Bunny,Bad Bunny,3:57
2025-03-16,BABY,GIMS,GIMS,2:35
2025-03-16,POUR ELLE,SDM,SDM,2:59
2025-03-16,Ça parle mal,Bouss,Bouss,2:56
2025-03-16,Feel Good,Charlotte Cardin,Charlotte Cardin,2:43
2025-03-16,NANANI NANANA,Gazo,Gazo,3:37
2025-03-16,La faille,Jul,Jul,4:51
2025-03-16,Angela,Bouss,Bouss,2:54
