Date,Song Title,Artist,Album,Duration
2025-03-16,Lilac,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:48
2025-03-16,Kaiju,sakanaction,sakanaction,4:12
2025-03-16,Darling,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:40
2025-03-16,APT.,ROSÉ,ROSÉ,2:49
2025-03-16,HEART,King & Prince,King & Prince,3:48
2025-03-16,Soranji,Mrs. GREEN APPLE,Mrs. GREEN APPLE,5:44
2025-03-16,Que Sera Sera,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:32
2025-03-16,Can't we just be cute? -Kawaii Dakejya Damedesuka?,CUTIE STREET,CUTIE STREET,4:11
2025-03-16,Rock This Party,timelesz,timelesz,3:45
2025-03-16,Kaiju no Hanauta,VAUNDY,VAUNDY,3:44
2025-03-16,Bokuno Koto,Mrs. GREEN APPLE,Mrs. GREEN APPLE,5:21
2025-03-16,BOW AND ARROW,Kenshi Yonezu,Kenshi Yonezu,2:55
2025-03-16,Ao To Natsu,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:30
2025-03-16,Tenbyouno Uta (feat. Sonoko Inoue),Mrs. GREEN APPLE,Mrs. GREEN APPLE,5:07
2025-03-16,Bitter Vacances,Mrs. GREEN APPLE,Mrs. GREEN APPLE,3:18
2025-03-16,Dance Hall,Mrs. GREEN APPLE,Mrs. GREEN APPLE,3:23
2025-03-16,Magic,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:23
2025-03-16,Bling-Bang-Bang-Born,Creepy Nuts,Creepy Nuts,2:48
2025-03-16,Ikuokukonen,Omoinotake,Omoinotake,4:36
2025-03-16,masshiro (pure white),Fujii Kaze,Fujii Kaze,4:54
2025-03-16,Run,timelesz,timelesz,3:55
2025-03-16,UNDEAD,YOASOBI,YOASOBI,3:02
2025-03-16,Plazma,Kenshi Yonezu,Kenshi Yonezu,3:00
2025-03-16,familie,Mrs. GREEN APPLE,Mrs. GREEN APPLE,3:42
2025-03-16,Start,Mrs. GREEN APPLE,Mrs. GREEN APPLE,3:31
