City,Temperature (°C),Feels Like (°C),Weather,Description,Humidity (%),Pressure (hPa),Wind Speed (m/s)
accra,32.05,39.05,Clouds,few clouds,66,1007,7.72
almaty,6.85,5.57,Clear,clear sky,50,1023,1.95
auckland,14.59,14.22,Clouds,broken clouds,81,1015,5.14
austin,20.06,19.95,Clouds,overcast clouds,70,1016,3.58
bangalore,27.47,28.27,Clouds,few clouds,55,1013,4.63
bangkok,29.95,33.14,Clouds,scattered clouds,62,1012,3.79
barcelona,13.94,13.14,Clouds,few clouds,67,1019,7.2
beijing,8.92,8.92,Clear,clear sky,22,1024,1.25
berlin,9.1,7.63,Clear,clear sky,27,1030,2.68
birmingham,11.32,9.66,Clear,clear sky,44,1022,6.17
bogotá,16.99,16.49,Clouds,broken clouds,67,1019,2.06
bordeaux,19.21,18.2,Clear,clear sky,39,1014,6.69
brisbane,21.18,21.42,Clouds,broken clouds,79,1020,2.57
budapest,6.2,4.27,Clear,clear sky,29,1031,2.57
buenos_aires,27.94,29.47,Clear,clear sky,61,1017,2.24
busan,1.91,-1.67,Clouds,scattered clouds,60,1021,3.6
calgary,-3.54,-9.43,Clouds,overcast clouds,83,1019,5.14
cape_town,29.59,30.32,Clear,clear sky,49,1012,2.68
chicago,10.8,9.55,Clouds,overcast clouds,62,1010,4.63
ciudad_de_mexico,18.36,17.5,Clear,clear sky,48,1019,2.06
cologne,11.96,9.79,Clear,clear sky,22,1026,5.66
copenhagen,7.12,3.93,Clouds,few clouds,67,1027,5.14
dallas,19.83,19.49,Clouds,overcast clouds,62,1014,5.81
delhi,23.07,22.63,Haze,haze,46,1012,1.54
denver,14.09,12.13,Clear,clear sky,22,995,3.13
detroit,11.63,10.21,Clear,clear sky,52,1014,8.23
dubai,25.01,25.05,Clear,clear sky,57,1014,4.12
dublin,10.17,8.86,Clouds,scattered clouds,62,1020,7.2
durban,23.45,24.17,Rain,light rain,89,1019,2.36
edmonton,-6.61,-10.25,Clouds,few clouds,74,1021,2.06
frankfurt,10.85,8.75,Clear,clear sky,29,1027,4.63
fukuoka,4.86,0.08,Rain,moderate rain,81,1019,7.72
