Date,Song Title,Artist,Album,Duration
2025-03-19,Proud Of Me,Fridayy,Fridayy,3:50
2025-03-19,NOKIA,Drake,Drake,4:01
2025-03-19,SOMEBODY LOVES ME,PARTYNEXTDOOR,PARTYNEXTDOOR,3:02
2025-03-19,RATHER LIE,Playboi Carti,Playboi Carti,3:29
2025-03-19,EVIL J0RDAN,Playboi Carti,Playboi Carti,3:03
2025-03-19,GOOD CREDIT,Playboi Carti,Playboi Carti,3:10
2025-03-19,30 For 30 (with Kendrick Lamar),SZA,SZA,4:38
2025-03-19,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-03-19,GIMME A HUG,Drake,Drake,3:13
2025-03-19,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-19,Anxiety,Doechii,Doechii,4:09
2025-03-19,Residuals,Chris Brown,Chris Brown,3:35
2025-03-19,tv off (feat. Lefty Gunplay),Kendrick Lamar,Kendrick Lamar,3:40
2025-03-19,BAILE INoLVIDABLE,Bad Bunny,Bad Bunny,6:07
2025-03-19,Little Things,Ella Mai,Ella Mai,2:52
2025-03-19,Dark Thoughts,Lil Tecca,Lil Tecca,2:16
2025-03-19,Doot Doot (6 7),Skrilla,Skrilla,2:29
2025-03-19,25,Rod Wave,Rod Wave,3:00
2025-03-19,Snooze,SZA,SZA,3:21
2025-03-19,Frozen,Lil Baby,Lil Baby,2:59
2025-03-19,Heart Of A Woman,Summer Walker,Summer Walker,2:51
2025-03-19,WAIT FOR U (feat. Drake & Tems),Future,Future,3:09
2025-03-19,DtMF,Bad Bunny,Bad Bunny,3:57
2025-03-19,squabble up,Kendrick Lamar,Kendrick Lamar,2:37
2025-03-19,MUTT,Leon Thomas,Leon Thomas,3:13
