Date,Song Title,Artist,Album,Duration
2025-03-20,like JENNIE,JENNIE,JENNIE,2:03
2025-03-20,HOT,LE SSERAFIM,LE SSERAFIM,2:23
2025-03-20,The Chase,Hearts2Hearts,Hearts2Hearts,2:58
2025-03-20,Drowning,WOODZ,WOODZ,4:04
2025-03-20,Never Loved This Way Before,BOYNEXTDOOR,BOYNEXTDOOR,4:25
2025-03-20,TOO BAD,G-DRAGON,G-DRAGON,2:33
2025-03-20,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-03-20,I DO ME,KiiiKiii,KiiiKiii,3:10
2025-03-20,Whiplash,aespa,aespa,3:03
2025-03-20,"IF I SAY, I LOVE YOU",BOYNEXTDOOR,BOYNEXTDOOR,2:41
2025-03-20,ExtraL,JENNIE,JENNIE,2:47
2025-03-20,Don't you know,ZO ZAZZ,ZO ZAZZ,5:01
2025-03-20,Flower,OVAN,OVAN,2:49
2025-03-20,toxic till the end,ROSÉ,ROSÉ,2:36
2025-03-20,ATTITUDE,IVE,IVE,3:14
2025-03-20,HOME SWEET HOME (feat. TAEYANG & DAESUNG),G-DRAGON,G-DRAGON,3:31
2025-03-20,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-20,Handlebars,JENNIE,JENNIE,3:04
2025-03-20,REBEL HEART,IVE,IVE,3:08
2025-03-20,Love Hangover,JENNIE,JENNIE,3:00
2025-03-20,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-20,KNOW ABOUT ME,NMIXX,NMIXX,2:45
2025-03-20,+82 Pressin' (feat. HAECHAN),MARK,MARK,3:22
2025-03-20,DRIP,BABYMONSTER,BABYMONSTER,3:00
2025-03-20,Magnetic,ILLIT,ILLIT,2:40
