Date,Song Title,Artist,Album,Duration
2025-03-20,NOKIA,Drake,Drake,4:01
2025-03-20,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-03-20,EVIL J0RDAN,Playboi Carti,Playboi Carti,3:03
2025-03-20,RATHER LIE,Playboi Carti,Playboi Carti,3:29
2025-03-20,30 For 30 (with Kendrick Lamar),SZA,SZA,4:38
2025-03-20,SOMEBODY LOVES ME,PARTYNEXTDOOR,PARTYNEXTDOOR,3:02
2025-03-20,tv off (feat. Lefty Gunplay),Kendrick Lamar,Kendrick Lamar,3:40
2025-03-20,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-20,I'm The Problem,Morgan Wallen,Morgan Wallen,2:57
2025-03-20,GIMME A HUG,Drake,Drake,3:13
2025-03-20,GOOD CREDIT,Playboi Carti,Playboi Carti,3:10
2025-03-20,Ordinary,Alex Warren,Alex Warren,3:06
2025-03-20,Anxiety,Doechii,Doechii,4:09
2025-03-20,Dark Thoughts,Lil Tecca,Lil Tecca,2:16
2025-03-20,squabble up,Kendrick Lamar,Kendrick Lamar,2:37
2025-03-20,Proud Of Me,Fridayy,Fridayy,3:50
2025-03-20,Little Things,Ella Mai,Ella Mai,2:52
2025-03-20,LIKE ME (feat. 42 Dugg & Lil Baby),Future,Future,2:12
2025-03-20,Like That,Future,Future,4:27
2025-03-20,Revolving door,Tate McRae,Tate McRae,3:00
2025-03-20,A Bar Song (Tipsy),Shaboozey,Shaboozey,2:51
2025-03-20,Love Somebody,Morgan Wallen,Morgan Wallen,3:24
2025-03-20,I Had Some Help (feat. Morgan Wallen),Post Malone,Post Malone,2:58
2025-03-20,Sports car,Tate McRae,Tate McRae,2:45
2025-03-20,Frozen,Lil Baby,Lil Baby,2:59
