Date,Song Title,Artist,Album,Duration
2025-03-20,like JENNIE,JENNIE,JENNIE,2:03
2025-03-20,特別的人,Khalil Fong,Khalil Fong,4:19
2025-03-20,Step Aside,Jay Chou,Jay Chou,3:58
2025-03-20,KNOW ABOUT ME,NMIXX,NMIXX,2:45
2025-03-20,Qi-Li-Xiang,Jay Chou,Jay Chou,4:57
2025-03-20,愛愛愛,Khalil Fong,Khalil Fong,3:33
2025-03-20,Sunny Day,Jay Chou,Jay Chou,4:29
2025-03-20,Jumping Machine (跳楼机),LBI,LBI,3:21
2025-03-20,Wrong Love,Wang Leehom,Wang Leehom,3:58
2025-03-20,Handlebars,JENNIE,JENNIE,3:04
2025-03-20,Only One,G.E.M.,G.E.M.,4:13
2025-03-20,HOT,LE SSERAFIM,LE SSERAFIM,2:23
2025-03-20,Twenty Three,Khalil Fong,Khalil Fong,3:44
2025-03-20,ExtraL,JENNIE,JENNIE,2:47
2025-03-20,世界贈予我的,Faye Wong,Faye Wong,4:04
2025-03-20,你都不知道 自己有多好,Gareth.T,Gareth.T,3:08
2025-03-20,我懷念的,Yanzi Sun,Yanzi Sun,4:49
2025-03-20,十年,Eason Chan,Eason Chan,3:25
2025-03-20,淘汰,Eason Chan,Eason Chan,4:45
2025-03-20,緊急聯絡人,Gareth.T,Gareth.T,3:42
2025-03-20,蘇州河,Fiona Sit,Fiona Sit,4:00
2025-03-20,愛情轉移,Eason Chan,Eason Chan,4:19
2025-03-20,APT.,ROSÉ,ROSÉ,2:49
2025-03-20,泡沫,G.E.M.,G.E.M.,4:18
2025-03-20,愛我還是他,David Tao,David Tao,4:52
