Date,Song Title,Artist,Album,Duration
2025-03-20,La Plena (W Sound 05),W Sound,W Sound,2:30
2025-03-20,ME JALO,Fuerza Regida,Fuerza Regida,3:32
2025-03-20,En Privado,Xavi,Xavi,3:19
2025-03-20,BAILE INoLVIDABLE,Bad Bunny,Bad Bunny,6:07
2025-03-20,Por Esos Ojos,Fuerza Regida,Fuerza Regida,3:08
2025-03-20,TATTOO,Tito Double P,Tito Double P,2:47
2025-03-20,EoO,Bad Bunny,Bad Bunny,3:24
2025-03-20,DtMF,Bad Bunny,Bad Bunny,3:57
2025-03-20,Mi Refe,Beéle,Beéle,2:39
2025-03-20,7 Días,Gabito Ballesteros,Gabito Ballesteros,3:00
2025-03-20,Morena,Neton Vega,Neton Vega,3:13
2025-03-20,NADIE,Tito Double P,Tito Double P,3:17
2025-03-20,HOLLYWOOD,Peso Pluma,Peso Pluma,4:44
2025-03-20,M&M,Neton Vega,Neton Vega,2:46
2025-03-20,Loco,Neton Vega,Neton Vega,3:06
2025-03-20,ROSONES,Tito Double P,Tito Double P,2:57
2025-03-20,Qué Pasaría...,Rauw Alejandro,Rauw Alejandro,3:11
2025-03-20,Tu Boda,Óscar Maydon,Óscar Maydon,3:45
2025-03-20,Moscow Mule,Bad Bunny,Bad Bunny,4:05
2025-03-20,sobelove,Beéle,Beéle,2:11
2025-03-20,DOS DÍAS,Tito Double P,Tito Double P,2:33
2025-03-20,RARI,Peso Pluma,Peso Pluma,2:33
2025-03-20,EL LOKERON,Tito Double P,Tito Double P,2:25
2025-03-20,Sonido de Lluvia para Dormir y Relajarse (Pt. 01),Lluvia para Dormir,Lluvia para Dormir,1:42
2025-03-20,Te Quería Ver,Alemán,Alemán,2:56
