Date,Song Title,Artist,Album,Duration
2025-03-23,La Plena (W Sound 05),W Sound,W Sound,2:30
2025-03-23,BAILE INoLVIDABLE,Bad Bunny,Bad Bunny,6:07
2025-03-23,EoO,Bad Bunny,Bad Bunny,3:24
2025-03-23,Mi Refe,Beéle,Beéle,2:39
2025-03-23,VOY A LLeVARTE PA PR,Bad Bunny,Bad Bunny,2:36
2025-03-23,capaz (merengueton),Alleh,Alleh,2:53
2025-03-23,Ojos Tristes,Selena Gomez,Selena Gomez,3:21
2025-03-23,PONTE LOKITA,Katteyes,Katteyes,3:03
2025-03-23,Qué Pasaría...,Rauw Alejandro,Rauw Alejandro,3:11
2025-03-23,sobelove,Beéle,Beéle,2:11
2025-03-23,MONA LISA,j-hope,j-hope,2:17
2025-03-23,Khé?,Rauw Alejandro,Rauw Alejandro,3:26
2025-03-23,Moscow Mule,Bad Bunny,Bad Bunny,4:05
2025-03-23,Tití Me Preguntó,Bad Bunny,Bad Bunny,4:03
2025-03-23,Sweet Dreams,j-hope,j-hope,2:52
2025-03-23,ME JALO,Fuerza Regida,Fuerza Regida,3:32
2025-03-23,Si Antes Te Hubiera Conocido,KAROL G,KAROL G,3:15
2025-03-23,Con otra,Cazzu,Cazzu,3:51
2025-03-23,La Santa,Bad Bunny,Bad Bunny,3:26
2025-03-23,SORRY 4 THAT MUCH,Feid,Feid,3:27
2025-03-23,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-23,LUNA,Feid,Feid,3:16
2025-03-23,Hasta Aquí Llegué,Nanpa Básico,Nanpa Básico,3:08
2025-03-23,Vete,Bad Bunny,Bad Bunny,3:12
