Date,Song Title,Artist,Album,Duration
2025-03-23,Ordinary,Alex Warren,Alex Warren,3:06
2025-03-23,Show Me Love,WizTheMc,WizTheMc,2:56
2025-03-23,APT.,ROSÉ,ROSÉ,2:49
2025-03-23,NOKIA,Drake,Drake,4:01
2025-03-23,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-23,A Bar Song (Tipsy),Shaboozey,Shaboozey,2:51
2025-03-23,Anxiety,Doechii,Doechii,4:09
2025-03-23,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-23,EVIL J0RDAN,Playboi Carti,Playboi Carti,3:03
2025-03-23,Beautiful Things,Benson Boone,Benson Boone,3:00
2025-03-23,Timeless,The Weeknd,The Weeknd,4:16
2025-03-23,Revolving door,Tate McRae,Tate McRae,3:00
2025-03-23,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-03-23,RATHER LIE,Playboi Carti,Playboi Carti,3:29
2025-03-23,Sports car,Tate McRae,Tate McRae,2:45
2025-03-23,Messy,Lola Young,Lola Young,4:44
2025-03-23,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-03-23,Feel Good,Charlotte Cardin,Charlotte Cardin,2:43
2025-03-23,DtMF,Bad Bunny,Bad Bunny,3:57
2025-03-23,Love Somebody,Morgan Wallen,Morgan Wallen,3:24
2025-03-23,I Had Some Help (feat. Morgan Wallen),Post Malone,Post Malone,2:58
2025-03-23,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-03-23,Dark Thoughts,Lil Tecca,Lil Tecca,2:16
2025-03-23,Just In Case,Morgan Wallen,Morgan Wallen,2:46
2025-03-23,Lose Control,Teddy Swims,Teddy Swims,3:30
