Date,Song Title,Artist,Album,Duration
2025-03-23,Lilac,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:48
2025-03-23,Kaiju,sakanaction,sakanaction,4:12
2025-03-23,Darling,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:40
2025-03-23,Soranji,Mrs. GREEN APPLE,Mrs. GREEN APPLE,5:44
2025-03-23,HEART,King & Prince,King & Prince,3:48
2025-03-23,Almond Chocolate,ILLIT,ILLIT,3:21
2025-03-23,APT.,ROSÉ,ROSÉ,2:49
2025-03-23,BOW AND ARROW,Kenshi Yonezu,Kenshi Yonezu,2:55
2025-03-23,Que Sera Sera,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:32
2025-03-23,Can't we just be cute? -Kawaii Dakejya Damedesuka?,CUTIE STREET,CUTIE STREET,4:11
2025-03-23,Rock This Party,timelesz,timelesz,3:45
2025-03-23,Bokuno Koto,Mrs. GREEN APPLE,Mrs. GREEN APPLE,5:21
2025-03-23,Bitter Vacances,Mrs. GREEN APPLE,Mrs. GREEN APPLE,3:18
2025-03-23,Whiplash,aespa,aespa,3:03
2025-03-23,Kaiju no Hanauta,VAUNDY,VAUNDY,3:44
2025-03-23,Ao To Natsu,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:30
2025-03-23,DRIP,BABYMONSTER,BABYMONSTER,3:00
2025-03-23,like JENNIE,JENNIE,JENNIE,2:03
2025-03-23,Tenbyouno Uta (feat. Sonoko Inoue),Mrs. GREEN APPLE,Mrs. GREEN APPLE,5:07
2025-03-23,Dance Hall,Mrs. GREEN APPLE,Mrs. GREEN APPLE,3:23
2025-03-23,Magic,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:23
2025-03-23,Start,Mrs. GREEN APPLE,Mrs. GREEN APPLE,3:31
2025-03-23,GOD_i,Number_i,Number_i,3:35
2025-03-23,doppelgänger,Creepy Nuts,Creepy Nuts,2:47
2025-03-23,YELLOW,TREASURE,TREASURE,3:11
