Date,Song Title,Artist,Album,Duration
2025-03-26,Jhol,Maanu,Maanu,4:25
2025-03-26,"Raanjhan (From ""Do Patti"")",Sachet-Parampara,Sachet-Parampara,4:00
2025-03-26,Wavy,Karan Aujla,Karan Aujla,2:41
2025-03-26,Afsos,Anuv Jain,Anuv Jain,3:11
2025-03-26,Ishq Hai,Anurag Saikia,Anurag Saikia,5:12
2025-03-26,"Apna Bana Le (From ""Bhediya"")",Arijit Singh,Arijit Singh,4:21
2025-03-26,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-26,Run It Up,Hanumankind,Hanumankind,2:53
2025-03-26,Cry For Me,The Weeknd,The Weeknd,3:44
2025-03-26,Finding Her,Kushagra,Kushagra,3:27
2025-03-26,Vartmaan,UNIYAL,UNIYAL,1:58
2025-03-26,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-03-26,Hawayein,Pritam,Pritam,4:50
2025-03-26,Shree Hanuman Chalisa,Hariharan,Hariharan,9:46
2025-03-26,Hanuman Chalisa-Lofi,Rasraj Ji Maharaj,Rasraj Ji Maharaj,4:17
2025-03-26,Tainu Khabar Nahi,Sachin-Jigar,Sachin-Jigar,3:08
2025-03-26,YEDA YUNG,YUNG DSA,YUNG DSA,2:39
2025-03-26,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-26,Aashiq Tera,Altamash Faridi,Altamash Faridi,4:54
2025-03-26,Pal Pal,AFUSIC,AFUSIC,2:27
2025-03-26,Say What (feat. chuala),Rampa,Rampa,3:01
2025-03-26,Follow You,Noizy,Noizy,2:44
2025-03-26,Khuda Jaane,Vishal & Shekhar,Vishal & Shekhar,5:37
2025-03-26,Jo Tum Mere Ho,Anuv Jain,Anuv Jain,4:11
2025-03-26,Paro,Aditya Rikhari,Aditya Rikhari,1:10
