Date,Song Title,Artist,Album,Duration
2025-03-30,blackout 🧊,Emilia,Emilia,3:02
2025-03-30,BAILE INoLVIDABLE,Bad Bunny,Bad Bunny,6:07
2025-03-30,twilight zone,Ariana Grande,Ariana Grande,3:18
2025-03-30,bunda 🍑,Emilia,Emilia,3:43
2025-03-30,VOY A LLeVARTE PA PR,Bad Bunny,Bad Bunny,2:36
2025-03-30,dandelion,Ariana Grande,Ariana Grande,3:24
2025-03-30,warm,Ariana Grande,Ariana Grande,3:21
2025-03-30,VeLDÁ,Bad Bunny,Bad Bunny,3:55
2025-03-30,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-30,capaz (merengueton),Alleh,Alleh,2:53
2025-03-30,La Plena (W Sound 05),W Sound,W Sound,2:30
2025-03-30,Beautiful Things,Benson Boone,Benson Boone,3:00
2025-03-30,#TETAS,CA7RIEL & Paco Amoroso,CA7RIEL & Paco Amoroso,2:29
2025-03-30,Si Antes Te Hubiera Conocido,KAROL G,KAROL G,3:15
2025-03-30,Amor de Vago,La T y la M,La T y la M,3:08
2025-03-30,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-03-30,Sports car,Tate McRae,Tate McRae,2:45
2025-03-30,Revolving door,Tate McRae,Tate McRae,3:00
2025-03-30,Con otra,Cazzu,Cazzu,3:51
2025-03-30,Qué Pasaría...,Rauw Alejandro,Rauw Alejandro,3:11
2025-03-30,Olvidarte (feat. Emilia),Gordo,Gordo,2:37
2025-03-30,No Confíes En Tu Suerte,Airbag,Airbag,3:57
2025-03-30,"Luck Ra: Bzrp Music Sessions, Vol. 61",Bizarrap,Bizarrap,2:50
2025-03-30,EL DÍA DEL AMIGO,CA7RIEL & Paco Amoroso,CA7RIEL & Paco Amoroso,2:50
2025-03-30,Lose Control,Teddy Swims,Teddy Swims,3:30
