Date,Song Title,Artist,Album,Duration
2025-03-30,Just In Case,Morgan Wallen,Morgan Wallen,2:46
2025-03-30,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-03-30,I'm The Problem,Morgan Wallen,Morgan Wallen,2:57
2025-03-30,Ordinary,Alex Warren,Alex Warren,3:06
2025-03-30,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-30,I'm A Little Crazy,Morgan Wallen,Morgan Wallen,3:19
2025-03-30,Love Somebody,Morgan Wallen,Morgan Wallen,3:24
2025-03-30,NOKIA,Drake,Drake,4:01
2025-03-30,ME JALO,Fuerza Regida,Fuerza Regida,3:32
2025-03-30,twilight zone,Ariana Grande,Ariana Grande,3:18
2025-03-30,Pink Pony Club,Chappell Roan,Chappell Roan,4:18
2025-03-30,Loco,Neton Vega,Neton Vega,3:06
2025-03-30,I Had Some Help (feat. Morgan Wallen),Post Malone,Post Malone,2:58
2025-03-30,Beautiful Things,Benson Boone,Benson Boone,3:00
2025-03-30,Dark Thoughts,Lil Tecca,Lil Tecca,2:16
2025-03-30,A Bar Song (Tipsy),Shaboozey,Shaboozey,2:51
2025-03-30,tv off (feat. Lefty Gunplay),Kendrick Lamar,Kendrick Lamar,3:40
2025-03-30,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-30,TATTOO,Tito Double P,Tito Double P,2:47
2025-03-30,Te Quería Ver,Alemán,Alemán,2:56
2025-03-30,Smile,Morgan Wallen,Morgan Wallen,3:44
2025-03-30,Morena,Neton Vega,Neton Vega,3:13
2025-03-30,NADIE,Tito Double P,Tito Double P,3:17
2025-03-30,Last Night,Morgan Wallen,Morgan Wallen,2:43
2025-03-30,dandelion,Ariana Grande,Ariana Grande,3:24
