Date,Song Title,Artist,Album,Duration
2025-03-30,AKON,Jazeek,Jazeek,2:18
2025-03-30,tau mich auf,Zartmann,Zartmann,1:50
2025-03-30,Wackelkontakt,Oimara,Oimara,2:48
2025-03-30,APT.,ROSÉ,ROSÉ,2:49
2025-03-30,Ordinary,Alex Warren,Alex Warren,3:06
2025-03-30,Anxiety,Doechii,Doechii,4:09
2025-03-30,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-30,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-03-30,bissu dumm ¿,Bonez MC,Bonez MC,2:06
2025-03-30,Wie?,AYLIVA,AYLIVA,2:53
2025-03-30,The Emptiness Machine,LINKIN PARK,LINKIN PARK,3:10
2025-03-30,Show Me Love,WizTheMc,WizTheMc,2:56
2025-03-30,Up From the Bottom,LINKIN PARK,LINKIN PARK,3:03
2025-03-30,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-30,CRAZYYY,Jazeek,Jazeek,2:26
2025-03-30,Bad Dreams,Teddy Swims,Teddy Swims,3:04
2025-03-30,SABÍA QUE NO,reezy,reezy,3:02
2025-03-30,Mona Lisa Motion,ZAH1DE,ZAH1DE,2:12
2025-03-30,Beautiful Things,Benson Boone,Benson Boone,3:00
2025-03-30,Como Estas,Jazeek,Jazeek,2:24
2025-03-30,I Adore You (feat. Daecolm),HUGEL,HUGEL,3:34
2025-03-30,Wunder,AYLIVA,AYLIVA,2:56
2025-03-30,twilight zone,Ariana Grande,Ariana Grande,3:18
2025-03-30,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-03-30,That’s So True,Gracie Abrams,Gracie Abrams,2:46
