Date,Song Title,Artist,Album,Duration
2025-03-30,twilight zone,Ariana Grande,Ariana Grande,3:18
2025-03-30,dandelion,Ariana Grande,Ariana Grande,3:24
2025-03-30,warm,Ariana Grande,Ariana Grande,3:21
2025-03-30,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-30,Mãe Solteira,DG e Batidão Stronda,DG e Batidão Stronda,2:24
2025-03-30,APT.,ROSÉ,ROSÉ,2:49
2025-03-30,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-03-30,Beautiful Things,Benson Boone,Benson Boone,3:00
2025-03-30,Coração Partido (Corazón Partío) [Ao Vivo],Grupo Menos É Mais,Grupo Menos É Mais,3:15
2025-03-30,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-03-30,Sports car,Tate McRae,Tate McRae,2:45
2025-03-30,Anxiety,Doechii,Doechii,4:09
2025-03-30,Lose Control,Teddy Swims,Teddy Swims,3:30
2025-03-30,Who,Jimin,Jimin,2:50
2025-03-30,MONA LISA,j-hope,j-hope,2:17
2025-03-30,Garden Of Eden,Lady Gaga,Lady Gaga,3:59
2025-03-30,Motinha 2.0,DENNIS,DENNIS,1:58
2025-03-30,Vanish Into You,Lady Gaga,Lady Gaga,4:04
2025-03-30,WILDFLOWER,Billie Eilish,Billie Eilish,4:21
2025-03-30,Resenha do Arrocha,J. Eskine,J. Eskine,5:54
2025-03-30,Messy,Lola Young,Lola Young,4:44
2025-03-30,Nocaute,Jorge & Mateus,Jorge & Mateus,2:47
2025-03-30,Espresso,Sabrina Carpenter,Sabrina Carpenter,2:55
2025-03-30,vampire,Olivia Rodrigo,Olivia Rodrigo,3:39
2025-03-30,Tubarões (Ao Vivo),Diego & Victor Hugo,Diego & Victor Hugo,2:42
