Date,Song Title,Artist,Album,Duration
2025-04-02,Serumpun,Mimifly,Mimifly,2:11
2025-04-02,Meriah Lain Macam,Hael Husaini,Hael Husaini,3:40
2025-04-02,like JENNIE,JENNIE,JENNIE,2:03
2025-04-02,Balik Kampung,Sudirman,Sudirman,3:36
2025-04-02,Suasana Di Hari Raya,Anuar & Ellina,Anuar & Ellina,3:15
2025-04-02,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-04-02,Alamak Raya Lagi!,De Fam,De Fam,2:47
2025-04-02,Selamat Hari Raya,Saloma,Saloma,2:36
2025-04-02,Garam & Madu (Sakit Dadaku),Tenxi,Tenxi,3:04
2025-04-02,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-04-02,APT.,ROSÉ,ROSÉ,2:49
2025-04-02,Ketipak Ketipung Raya,Aisha Retno,Aisha Retno,2:30
2025-04-02,twilight zone,Ariana Grande,Ariana Grande,3:18
2025-04-02,Bukan Lagi Kita,Nadeera,Nadeera,3:32
2025-04-02,Raya Raya Raya,DOLLA,DOLLA,2:47
2025-04-02,Jumping Machine (跳楼机),LBI,LBI,3:21
2025-04-02,Aku Dah Lupa,MikkyZia,MikkyZia,3:02
2025-04-02,WILDFLOWER,Billie Eilish,Billie Eilish,4:21
2025-04-02,Raya Nak Ke Mana?,Siti Nurhaliza,Siti Nurhaliza,3:17
2025-04-02,Raya Mana?,Nabila Razali,Nabila Razali,3:05
2025-04-02,Handlebars,JENNIE,JENNIE,3:04
2025-04-02,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-04-02,Seribu Tahun Lagi,Imran Ajmain,Imran Ajmain,4:22
2025-04-02,Anugerah Terindah,Andmesh,Andmesh,4:42
2025-04-02,lowkey (feat. Heil Nuan),lucidrari,lucidrari,3:37
