Date,Song Title,Artist,Album,Duration
2025-04-02,Ordinary,Alex Warren,Alex Warren,3:06
2025-04-02,twilight zone,Ariana Grande,Ariana Grande,3:18
2025-04-02,Pink Pony Club,Chappell Roan,Chappell Roan,4:18
2025-04-02,Messy,Lola Young,Lola Young,4:44
2025-04-02,APT.,ROSÉ,ROSÉ,2:49
2025-04-02,Anxiety,Doechii,Doechii,4:09
2025-04-02,NOKIA,Drake,Drake,4:01
2025-04-02,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-04-02,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-04-02,Somedays,Sonny Fodera,Sonny Fodera,3:27
2025-04-02,Taste,Sabrina Carpenter,Sabrina Carpenter,2:37
2025-04-02,Show Me Love,WizTheMc,WizTheMc,2:56
2025-04-02,dandelion,Ariana Grande,Ariana Grande,3:24
2025-04-02,The Days (NOTION Remix),CHRYSTAL,CHRYSTAL,3:53
2025-04-02,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-04-02,Beautiful Things,Benson Boone,Benson Boone,3:00
2025-04-02,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-04-02,Bad Dreams,Teddy Swims,Teddy Swims,3:04
2025-04-02,Busy Woman,Sabrina Carpenter,Sabrina Carpenter,3:06
2025-04-02,warm,Ariana Grande,Ariana Grande,3:21
2025-04-02,Tell Me,Sonny Fodera,Sonny Fodera,3:17
2025-04-02,Sports car,Tate McRae,Tate McRae,2:45
2025-04-02,Bed Chem,Sabrina Carpenter,Sabrina Carpenter,2:51
2025-04-02,Nice To Meet You,Myles Smith,Myles Smith,2:56
2025-04-02,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
