Date,Song Title,Artist,Album,Duration
2025-04-03,8:00 PM (feat. Malie Donn),Armanii,Armanii,2:46
2025-04-03,Dirty Mirror,Malie Donn,Malie Donn,3:13
2025-04-03,G.A.D,Jada Kingdom,Jada Kingdom,3:40
2025-04-03,7:00 (Raw),Malie Donn,Malie Donn,2:44
2025-04-03,Body Tea,Malie Donn,Malie Donn,2:57
2025-04-03,NOKIA,Drake,Drake,4:01
2025-04-03,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-04-03,Shake It To The Max (FLY) [Remix],MOLIY,MOLIY,2:58
2025-04-03,Time,Jamal,Jamal,2:52
2025-04-03,Suspect,Malie Donn,Malie Donn,2:55
2025-04-03,SOMEBODY LOVES ME,PARTYNEXTDOOR,PARTYNEXTDOOR,3:02
2025-04-03,Mawning Sir,Govana,Govana,2:03
2025-04-03,Ballandor,Jamal,Jamal,3:02
2025-04-03,Can't Tell Me That,Jada Kingdom,Jada Kingdom,2:34
2025-04-03,Balance,Ayetian,Ayetian,2:09
2025-04-03,Tyrant,Masicka,Masicka,3:37
2025-04-03,Cups Up,Malie Donn,Malie Donn,3:11
2025-04-03,Ordinary,Alex Warren,Alex Warren,3:06
2025-04-03,Whites,Masicka,Masicka,4:28
2025-04-03,Sacred,Malie Donn,Malie Donn,2:18
2025-04-03,Nonchalant,Chronic Law,Chronic Law,2:45
2025-04-03,Aeod All Eyes on the Dunce,Jamal,Jamal,2:55
2025-04-03,Residuals,Chris Brown,Chris Brown,3:35
2025-04-03,30 For 30 (with Kendrick Lamar),SZA,SZA,4:38
2025-04-03,Mozart,Skippa,Skippa,3:11
