Date,Song Title,Artist,Album,Duration
2025-04-04,ROSE,HANA,HANA,2:44
2025-04-04,Lilac,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:48
2025-04-04,Darling,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:40
2025-04-04,Kaiju,sakanaction,sakanaction,4:12
2025-04-04,Almond Chocolate,ILLIT,ILLIT,3:21
2025-04-04,Soranji,Mrs. GREEN APPLE,Mrs. GREEN APPLE,5:44
2025-04-04,APT.,ROSÉ,ROSÉ,2:49
2025-04-04,BOW AND ARROW,Kenshi Yonezu,Kenshi Yonezu,2:55
2025-04-04,Puzzle,Shota Shimizu,Shota Shimizu,4:36
2025-04-04,Que Sera Sera,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:32
2025-04-04,Bokuno Koto,Mrs. GREEN APPLE,Mrs. GREEN APPLE,5:21
2025-04-04,Kaiju no Hanauta,VAUNDY,VAUNDY,3:44
2025-04-04,like JENNIE,JENNIE,JENNIE,2:03
2025-04-04,Bitter Vacances,Mrs. GREEN APPLE,Mrs. GREEN APPLE,3:18
2025-04-04,Whiplash,aespa,aespa,3:03
2025-04-04,Drop,HANA,HANA,2:28
2025-04-04,Tenbyouno Uta (feat. Sonoko Inoue),Mrs. GREEN APPLE,Mrs. GREEN APPLE,5:07
2025-04-04,Rock This Party,timelesz,timelesz,3:45
2025-04-04,DRIP,BABYMONSTER,BABYMONSTER,3:00
2025-04-04,Ao To Natsu,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:30
2025-04-04,Ikuokukonen,Omoinotake,Omoinotake,4:36
2025-04-04,Can't we just be cute? -Kawaii Dakejya Damedesuka?,CUTIE STREET,CUTIE STREET,4:11
2025-04-04,Dance Hall,Mrs. GREEN APPLE,Mrs. GREEN APPLE,3:23
2025-04-04,Magic,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:23
2025-04-04,Sketch,Aimyon,Aimyon,4:26
