Date,Song Title,Artist,Album,Duration
2025-04-04,Laho,Shallipopi,Shallipopi,2:24
2025-04-04,MPISHI,Matata,Matata,3:19
2025-04-04,4 Kampé II,Joé Dwèt Filé,Joé Dwèt Filé,3:31
2025-04-04,Nairobi,Marioo,Marioo,3:23
2025-04-04,NOKIA,Drake,Drake,4:01
2025-04-04,Me too,Abigail Chams,Abigail Chams,2:38
2025-04-04,Baby (Is It A Crime),Rema,Rema,2:44
2025-04-04,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-04-04,Ordinary,Alex Warren,Alex Warren,3:06
2025-04-04,Arike,Kunmie,Kunmie,2:04
2025-04-04,Venus,Faceless,Faceless,2:19
2025-04-04,WHY LOVE,Asake,Asake,3:30
2025-04-04,EVIL J0RDAN,Playboi Carti,Playboi Carti,3:03
2025-04-04,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-04-04,Olodumare,Joel Lwaga,Joel Lwaga,3:06
2025-04-04,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-04-04,Residuals,Chris Brown,Chris Brown,3:35
2025-04-04,Aki Sioni,Njerae,Njerae,3:03
2025-04-04,KANTE (feat. Fave),Davido,Davido,3:14
2025-04-04,Vuka (feat. Thukuthela),Oscar Mbo,Oscar Mbo,5:27
2025-04-04,"Biri Marung (feat. Sje Konka, Focalistic, DJ Maphorisa, Scotts Maphuma & CowBoii)",Mr Pilato,Mr Pilato,7:34
2025-04-04,Update,Burna Boy,Burna Boy,3:27
2025-04-04,MMS,Asake,Asake,3:39
2025-04-04,All The Love,Ayra Starr,Ayra Starr,3:06
2025-04-04,TOXIC,Playboi Carti,Playboi Carti,2:15
