Date,Song Title,Artist,Album,Duration
2025-04-07,like JENNIE,JENNIE,JENNIE,2:03
2025-04-07,Sunny Day,Jay Chou,Jay Chou,4:29
2025-04-07,Wrong Love,Wang Leehom,Wang Leehom,3:58
2025-04-07,Only One,G.E.M.,G.E.M.,4:13
2025-04-07,Qi-Li-Xiang,Jay Chou,Jay Chou,4:57
2025-04-07,Step Aside,Jay Chou,Jay Chou,3:58
2025-04-07,特別的人,Khalil Fong,Khalil Fong,4:19
2025-04-07,Jumping Machine (跳楼机),LBI,LBI,3:21
2025-04-07,Whiplash,aespa,aespa,3:03
2025-04-07,我懷念的,Yanzi Sun,Yanzi Sun,4:49
2025-04-07,愛愛愛,Khalil Fong,Khalil Fong,3:33
2025-04-07,愛我還是他,David Tao,David Tao,4:52
2025-04-07,My Only Girl,Khalil Fong,Khalil Fong,4:48
2025-04-07,世界贈予我的,Faye Wong,Faye Wong,4:04
2025-04-07,瞬,郑润泽,郑润泽,4:44
2025-04-07,富士山下,Eason Chan,Eason Chan,4:19
2025-04-07,Heart Beat,Wang Leehom,Wang Leehom,4:23
2025-04-07,愛情轉移,Eason Chan,Eason Chan,4:19
2025-04-07,The Key,JJ Lin,JJ Lin,3:27
2025-04-07,下一個天亮,Claire Kuo,Claire Kuo,4:26
2025-04-07,Handlebars,JENNIE,JENNIE,3:04
2025-04-07,No Turning Back,JJ Lin,JJ Lin,4:36
2025-04-07,ExtraL,JENNIE,JENNIE,2:47
2025-04-07,孤獨患者,Eason Chan,Eason Chan,4:33
2025-04-07,APT.,ROSÉ,ROSÉ,2:49
