Date,Song Title,Artist,Album,Duration
2025-04-07,twilight zone,Ariana Grande,Ariana Grande,3:18
2025-04-07,NOKIA,Drake,Drake,4:01
2025-04-07,Ojos Tristes,Selena Gomez,Selena Gomez,3:21
2025-04-07,WILDFLOWER,Billie Eilish,Billie Eilish,4:21
2025-04-07,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-04-07,warm,Ariana Grande,Ariana Grande,3:21
2025-04-07,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-04-07,dandelion,Ariana Grande,Ariana Grande,3:24
2025-04-07,Ordinary,Alex Warren,Alex Warren,3:06
2025-04-07,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-04-07,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-04-07,DIE TRYING,PARTYNEXTDOOR,PARTYNEXTDOOR,3:15
2025-04-07,like JENNIE,JENNIE,JENNIE,2:03
2025-04-07,Timeless,The Weeknd,The Weeknd,4:16
2025-04-07,Azizam,Ed Sheeran,Ed Sheeran,2:42
2025-04-07,CHIHIRO,Billie Eilish,Billie Eilish,5:03
2025-04-07,How Does It Feel To Be Forgotten,Selena Gomez,Selena Gomez,2:41
2025-04-07,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-04-07,Cry For Me,The Weeknd,The Weeknd,3:44
2025-04-07,Revolving door,Tate McRae,Tate McRae,3:00
2025-04-07,APT.,ROSÉ,ROSÉ,2:49
2025-04-07,End of the World,Miley Cyrus,Miley Cyrus,4:10
2025-04-07,Show Me Love,WizTheMc,WizTheMc,2:56
2025-04-07,tv off (feat. Lefty Gunplay),Kendrick Lamar,Kendrick Lamar,3:40
2025-04-07,Bluest Flame,Selena Gomez,Selena Gomez,2:42
