Date,Song Title,Artist,Album,Duration
2025-04-08,La Plena (W Sound 05),W Sound,W Sound,2:30
2025-04-08,Romeo y Julieta,Eladio Carrión,Eladio Carrión,3:26
2025-04-08,FLIPA,JC Reyes,JC Reyes,2:55
2025-04-08,capaz (merengueton),Alleh,Alleh,2:53
2025-04-08,BAILE INoLVIDABLE,Bad Bunny,Bad Bunny,6:07
2025-04-08,Vetements,Eladio Carrión,Eladio Carrión,3:20
2025-04-08,Mi Refe,Beéle,Beéle,2:39
2025-04-08,Still Luvin,Delaossa,Delaossa,4:06
2025-04-08,El Reggaeton del Disco,Eladio Carrión,Eladio Carrión,3:23
2025-04-08,NUEVAYoL,Bad Bunny,Bad Bunny,3:03
2025-04-08,VOY A LLeVARTE PA PR,Bad Bunny,Bad Bunny,2:36
2025-04-08,NUBES,De La Rose,De La Rose,4:31
2025-04-08,Solcito,Miguel Bueno,Miguel Bueno,2:24
2025-04-08,Si Antes Te Hubiera Conocido,KAROL G,KAROL G,3:15
2025-04-08,sobelove,Beéle,Beéle,2:11
2025-04-08,blackout 🧊,Emilia,Emilia,3:02
2025-04-08,Orilla,8belial,8belial,3:13
2025-04-08,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-04-08,NINFO,JC Reyes,JC Reyes,3:04
2025-04-08,APT.,ROSÉ,ROSÉ,2:49
2025-04-08,Qué Pasaría...,Rauw Alejandro,Rauw Alejandro,3:11
2025-04-08,SIN AUTOTUNE,Lola Índigo,Lola Índigo,2:41
2025-04-08,Tití Me Preguntó,Bad Bunny,Bad Bunny,4:03
2025-04-08,GRAN VÍA,Quevedo,Quevedo,3:33
2025-04-08,Q U E V A S H A C E R H O Y ?,Omar Courtz,Omar Courtz,3:44
