Date,Song Title,Artist,Album,Duration
2025-04-12,Unsicher,Nina Chuba,Nina Chuba,2:18
2025-04-12,tau mich auf,Zartmann,Zartmann,1:50
2025-04-12,AKON,Jazeek,Jazeek,2:18
2025-04-12,Ordinary,Alex Warren,Alex Warren,3:06
2025-04-12,Chanelli,Luciano,Luciano,1:59
2025-04-12,APT.,ROSÉ,ROSÉ,2:49
2025-04-12,Wackelkontakt,Oimara,Oimara,2:48
2025-04-12,Show Me Love,WizTheMc,WizTheMc,2:56
2025-04-12,Azizam,Ed Sheeran,Ed Sheeran,2:42
2025-04-12,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-04-12,Plug,Aymen,Aymen,2:32
2025-04-12,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-04-12,Anxiety,Doechii,Doechii,4:09
2025-04-12,Boncuk,Kontra K,Kontra K,3:03
2025-04-12,Wie?,AYLIVA,AYLIVA,2:53
2025-04-12,Aye,Nimo,Nimo,3:02
2025-04-12,The Emptiness Machine,LINKIN PARK,LINKIN PARK,3:10
2025-04-12,Dein Mann Freestyle,benno!,benno!,2:25
2025-04-12,RAP,LACAZETTE,LACAZETTE,2:35
2025-04-12,bissu dumm ¿,Bonez MC,Bonez MC,2:06
2025-04-12,SABÍA QUE NO,reezy,reezy,3:02
2025-04-12,Wunder,AYLIVA,AYLIVA,2:56
2025-04-12,Bad Dreams,Teddy Swims,Teddy Swims,3:04
2025-04-12,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-04-12,That’s So True,Gracie Abrams,Gracie Abrams,2:46
