Date,Song Title,Artist,Album,Duration
2025-04-17,NOKIA,Drake,Drake,4:01
2025-04-17,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-04-17,ME JALO,Fuerza Regida,Fuerza Regida,3:32
2025-04-17,Loco,Neton Vega,Neton Vega,3:06
2025-04-17,Te Quería Ver,Alemán,Alemán,2:56
2025-04-17,Por Esos Ojos,Fuerza Regida,Fuerza Regida,3:08
2025-04-17,Morena,Neton Vega,Neton Vega,3:13
2025-04-17,NADIE,Tito Double P,Tito Double P,3:17
2025-04-17,TU TU TU,Clave Especial,Clave Especial,2:31
2025-04-17,TATTOO,Tito Double P,Tito Double P,2:47
2025-04-17,7 Días,Gabito Ballesteros,Gabito Ballesteros,3:00
2025-04-17,DOS DÍAS,Tito Double P,Tito Double P,2:33
2025-04-17,30 For 30 (with Kendrick Lamar),SZA,SZA,4:38
2025-04-17,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-04-17,Tu Boda,Óscar Maydon,Óscar Maydon,3:45
2025-04-17,EL LOKERON,Tito Double P,Tito Double P,2:25
2025-04-17,El Mayor de los Ranas,Victor Valverde,Victor Valverde,2:52
2025-04-17,M&M,Neton Vega,Neton Vega,2:46
2025-04-17,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-04-17,gervonta,Peso Pluma,Peso Pluma,2:47
2025-04-17,RUBICON,Peso Pluma,Peso Pluma,3:58
2025-04-17,tv off (feat. Lefty Gunplay),Kendrick Lamar,Kendrick Lamar,3:40
2025-04-17,Mi Vida Mi Muerte,Neton Vega,Neton Vega,2:55
2025-04-17,LA PATRULLA,Peso Pluma,Peso Pluma,2:10
2025-04-17,Long Live My Brother,EBK Jaaybo,EBK Jaaybo,2:45
