Date,Song Title,Artist,Album,Duration
2025-04-17,רשימת קניות,Stilla,Stilla,2:34
2025-04-17,גשם,Osher Cohen,Osher Cohen,3:04
2025-04-17,נחלת בנימין,Itay Levy,Itay Levy,2:58
2025-04-17,מטורפת,Roei Adam,Roei Adam,2:22
2025-04-17,חולמת,Odeya,Odeya,3:11
2025-04-17,פרפרים,Odeya,Odeya,2:55
2025-04-17,אחת ממיליון,רון חיון,רון חיון,3:21
2025-04-17,מאחל לך טוב,Osher Cohen,Osher Cohen,2:58
2025-04-17,בחיבק,תמר ריילי,תמר ריילי,2:27
2025-04-17,לא להמציא,Duda,Duda,3:47
2025-04-17,שאנל אזולאי,Odeya,Odeya,2:38
2025-04-17,ה' יברך אותך,Osher Cohen,Osher Cohen,3:45
2025-04-17,תחנונים,Osher Cohen,Osher Cohen,3:11
2025-04-17,תהום,Omer Adam,Omer Adam,3:05
2025-04-17,גיטרה ולנשום,Osher Cohen,Osher Cohen,2:47
2025-04-17,את לא יודעת כמה שאני אוהב אותך,Odeya,Odeya,3:22
2025-04-17,סיפורי צדיקים,Odeya,Odeya,2:53
2025-04-17,החדר מסתובב,Eyal Golan,Eyal Golan,3:18
2025-04-17,אהבה בקרטונים,Eyal Golan,Eyal Golan,3:34
2025-04-17,תמיד אוהב אותי,ששון איפרם שאולוב,ששון איפרם שאולוב,2:52
2025-04-17,סיבות להישאר,Eyal Golan,Eyal Golan,3:03
2025-04-17,בקבוק על המרפסת,Osher Cohen,Osher Cohen,3:43
2025-04-17,טקילה,Omer Adam,Omer Adam,2:40
2025-04-17,רק שלך,Omer Adam,Omer Adam,3:54
2025-04-17,Show Me Love,WizTheMc,WizTheMc,2:56
