Date,Song Title,Artist,Album,Duration
2025-02-21,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-02-21,Afsos,Anuv Jain,Anuv Jain,3:11
2025-02-21,Jhol,Maanu,Maanu,4:25
2025-02-21,"Chuttamalle (From ""Devara Part 1"")",Anirudh Ravichander,Anirudh Ravichander,3:42
2025-02-21,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-02-21,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-02-21,Ishq Hai,Anurag Saikia,Anurag Saikia,5:12
2025-02-21,Cry For Me,The Weeknd,The Weeknd,3:44
2025-02-21,YEDA YUNG,YUNG DSA,YUNG DSA,2:39
2025-02-21,Jo Tum Mere Ho,Anuv Jain,Anuv Jain,4:11
2025-02-21,"Pathikichu (From ""Vidaamuyarchi"")",Anirudh Ravichander,Anirudh Ravichander,3:28
2025-02-21,All The Stars,Kendrick Lamar,Kendrick Lamar,3:52
2025-02-21,"Aasa Kooda (From ""Think Indie"")",Sai Abhyankkar,Sai Abhyankkar,3:35
2025-02-21,"Sithira Puthiri (From ""Think Indie"")",Sai Abhyankkar,Sai Abhyankkar,3:46
2025-02-21,"Mayavi (From ""Bhoomi 2024"")",Sonu Nigam,Sonu Nigam,4:18
2025-02-21,Wavy,Karan Aujla,Karan Aujla,2:41
2025-02-21,"Aaya Re Toofan (From ""Chhaava"")",A.R. Rahman,A.R. Rahman,4:39
2025-02-21,"Peelings (From ""Pushpa 2 The Rule"") - TELUGU",Shankarr Babu Kandukoori,Shankarr Babu Kandukoori,4:07
2025-02-21,Timeless,The Weeknd,The Weeknd,4:16
2025-02-21,"Raanjhan (From ""Do Patti"")",Sachet-Parampara,Sachet-Parampara,4:00
2025-02-21,Kabira,Pritam,Pritam,3:43
2025-02-21,Husn,Anuv Jain,Anuv Jain,3:37
2025-02-21,Hawayein,Pritam,Pritam,4:50
2025-02-21,Millionaire,Yo Yo Honey Singh,Yo Yo Honey Singh,3:19
2025-02-21,blue,yung kai,yung kai,3:34
