Date,Song Title,Artist,Album,Duration
2025-02-21,Balorda nostalgia,Olly,Olly,3:17
2025-02-21,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-02-21,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-02-21,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-02-21,DtMF,Bad Bunny,Bad Bunny,3:57
2025-02-21,BATTITO,Fedez,Fedez,3:14
2025-02-21,LA CURA PER ME,Giorgia,Giorgia,3:35
2025-02-21,Wackelkontakt,Oimara,Oimara,2:48
2025-02-21,Messy,Lola Young,Lola Young,4:44
2025-02-21,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-02-21,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-02-21,All The Stars,Kendrick Lamar,Kendrick Lamar,3:52
2025-02-21,tau mich auf,Zartmann,Zartmann,1:50
2025-02-21,Volevo essere un duro,Lucio Corsi,Lucio Corsi,3:05
2025-02-21,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-02-21,Incoscienti Giovani,Achille Lauro,Achille Lauro,3:24
2025-02-21,Cry For Me,The Weeknd,The Weeknd,3:44
2025-02-21,NUEVAYoL,Bad Bunny,Bad Bunny,3:03
2025-02-21,Ordinary,Alex Warren,Alex Warren,3:06
2025-02-21,WILDFLOWER,Billie Eilish,Billie Eilish,4:21
2025-02-21,tv off (feat. Lefty Gunplay),Kendrick Lamar,Kendrick Lamar,3:40
2025-02-21,A Bar Song (Tipsy),Shaboozey,Shaboozey,2:51
2025-02-21,BAILE INoLVIDABLE,Bad Bunny,Bad Bunny,6:07
2025-02-21,Lentamente,Irama,Irama,3:26
2025-02-21,Timeless,The Weeknd,The Weeknd,4:16
