Date,Song Title,Artist,Album,Duration
2025-02-22,跳楼机,LBI利比(時柏塵),LBI利比(時柏塵),3:21
2025-02-22,Only One,G.E.M.,G.E.M.,4:13
2025-02-22,Wrong Love,Wang Leehom,Wang Leehom,3:58
2025-02-22,世界贈予我的,Faye Wong,Faye Wong,4:04
2025-02-22,Sunny Day,Jay Chou,Jay Chou,4:29
2025-02-22,愛我還是他,David Tao,David Tao,4:52
2025-02-22,Qi-Li-Xiang,Jay Chou,Jay Chou,4:57
2025-02-22,Step Aside,Jay Chou,Jay Chou,3:58
2025-02-22,Whiplash,aespa,aespa,3:03
2025-02-22,我懷念的,Yanzi Sun,Yanzi Sun,4:49
2025-02-22,APT.,ROSÉ,ROSÉ,2:49
2025-02-22,捨得,Sarah,Sarah,4:22
2025-02-22,富士山下,Eason Chan,Eason Chan,4:19
2025-02-22,Born Again (feat. Doja Cat & RAYE),LISA,LISA,3:51
2025-02-22,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-02-22,No Turning Back,JJ Lin,JJ Lin,4:36
2025-02-22,愛情轉移,Eason Chan,Eason Chan,4:19
2025-02-22,Love Hangover,JENNIE,JENNIE,3:00
2025-02-22,孤獨患者,Eason Chan,Eason Chan,4:33
2025-02-22,ExtraL,JENNIE,JENNIE,2:47
2025-02-22,普通朋友,David Tao,David Tao,4:15
2025-02-22,Long Distance,G.E.M.,G.E.M.,3:36
2025-02-22,The Key,JJ Lin,JJ Lin,3:27
2025-02-22,越來越不懂,Tanya Chua,Tanya Chua,4:09
2025-02-22,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
