Date,Song Title,Artist,Album,Duration
2025-02-24,NOKIA,Drake,Drake,4:01
2025-02-24,BAILE INoLVIDABLE,Bad Bunny,Bad Bunny,6:07
2025-02-24,DtMF,Bad Bunny,Bad Bunny,3:57
2025-02-24,VOY A LLeVARTE PA PR,Bad Bunny,Bad Bunny,2:36
2025-02-24,GIMME A HUG,Drake,Drake,3:13
2025-02-24,SOMEBODY LOVES ME,PARTYNEXTDOOR,PARTYNEXTDOOR,3:02
2025-02-24,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-02-24,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-02-24,Tacto Que Llegó el Reparto,Bebeshito,Bebeshito,3:25
2025-02-24,tv off (feat. Lefty Gunplay),Kendrick Lamar,Kendrick Lamar,3:40
2025-02-24,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-02-24,Revolving door,Tate McRae,Tate McRae,3:00
2025-02-24,Qué Pasaría...,Rauw Alejandro,Rauw Alejandro,3:11
2025-02-24,Timeless,The Weeknd,The Weeknd,4:16
2025-02-24,30 For 30 (with Kendrick Lamar),SZA,SZA,4:38
2025-02-24,25,Rod Wave,Rod Wave,3:00
2025-02-24,Cry For Me,The Weeknd,The Weeknd,3:44
2025-02-24,Mi Refe,Beéle,Beéle,2:39
2025-02-24,I'm The Problem,Morgan Wallen,Morgan Wallen,2:57
2025-02-24,squabble up,Kendrick Lamar,Kendrick Lamar,2:37
2025-02-24,I Had Some Help (feat. Morgan Wallen),Post Malone,Post Malone,2:58
2025-02-24,Sports car,Tate McRae,Tate McRae,2:45
2025-02-24,Love Somebody,Morgan Wallen,Morgan Wallen,3:24
2025-02-24,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-02-24,A Bar Song (Tipsy),Shaboozey,Shaboozey,2:51
