Date,Song Title,Artist,Album,Duration
2025-02-26,Revolving door,Tate McRae,Tate McRae,3:00
2025-02-26,Sports car,Tate McRae,Tate McRae,2:45
2025-02-26,Dear god,Tate McRae,Tate McRae,2:51
2025-02-26,Siren sounds (bonus),Tate McRae,Tate McRae,3:03
2025-02-26,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-02-26,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-02-26,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-02-26,Ordinary,Alex Warren,Alex Warren,3:06
2025-02-26,Timeless,The Weeknd,The Weeknd,4:16
2025-02-26,APT.,ROSÉ,ROSÉ,2:49
2025-02-26,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-02-26,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-02-26,A Bar Song (Tipsy),Shaboozey,Shaboozey,2:51
2025-02-26,Beautiful Things,Benson Boone,Benson Boone,3:00
2025-02-26,Feel Good,Charlotte Cardin,Charlotte Cardin,2:43
2025-02-26,Messy,Lola Young,Lola Young,4:44
2025-02-26,WILDFLOWER,Billie Eilish,Billie Eilish,4:21
2025-02-26,All The Stars,Kendrick Lamar,Kendrick Lamar,3:52
2025-02-26,Sailor Song,Gigi Perez,Gigi Perez,3:31
2025-02-26,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-02-26,I'm The Problem,Morgan Wallen,Morgan Wallen,2:57
2025-02-26,I Had Some Help (feat. Morgan Wallen),Post Malone,Post Malone,2:58
2025-02-26,Pink Pony Club,Chappell Roan,Chappell Roan,4:18
2025-02-26,DtMF,Bad Bunny,Bad Bunny,3:57
2025-02-26,NOKIA,Drake,Drake,4:01
