Date,Song Title,Artist,Album,Duration
2025-02-27,Police,Cheema Y,Cheema Y,2:21
2025-02-27,Young G.O.A.T,Cheema Y,Cheema Y,3:45
2025-02-27,Vancouver,Cheema Y,Cheema Y,2:43
2025-02-27,NOKIA,Drake,Drake,4:01
2025-02-27,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-02-27,Revolving door,Tate McRae,Tate McRae,3:00
2025-02-27,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-02-27,Sports car,Tate McRae,Tate McRae,2:45
2025-02-27,DIE TRYING,PARTYNEXTDOOR,PARTYNEXTDOOR,3:15
2025-02-27,Gears,Arjan Dhillon,Arjan Dhillon,2:30
2025-02-27,Pink Pony Club,Chappell Roan,Chappell Roan,4:18
2025-02-27,Dear god,Tate McRae,Tate McRae,2:51
2025-02-27,tv off (feat. Lefty Gunplay),Kendrick Lamar,Kendrick Lamar,3:40
2025-02-27,Kde Kde,Arjan Dhillon,Arjan Dhillon,2:59
2025-02-27,Timeless,The Weeknd,The Weeknd,4:16
2025-02-27,APT.,ROSÉ,ROSÉ,2:49
2025-02-27,Water,Diljit Dosanjh,Diljit Dosanjh,3:16
2025-02-27,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-02-27,Petrol,Arjan Dhillon,Arjan Dhillon,1:59
2025-02-27,A Bar Song (Tipsy),Shaboozey,Shaboozey,2:51
2025-02-27,I'm The Problem,Morgan Wallen,Morgan Wallen,2:57
2025-02-27,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-02-27,GIMME A HUG,Drake,Drake,3:13
2025-02-27,I Had Some Help (feat. Morgan Wallen),Post Malone,Post Malone,2:58
2025-02-27,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
