Date,Song Title,Artist,Album,Duration
2025-03-01,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-03-01,NOKIA,Drake,Drake,4:01
2025-03-01,30 For 30 (with Kendrick Lamar),SZA,SZA,4:38
2025-03-01,GIMME A HUG,Drake,Drake,3:13
2025-03-01,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-01,DIE TRYING,PARTYNEXTDOOR,PARTYNEXTDOOR,3:15
2025-03-01,tv off (feat. Lefty Gunplay),Kendrick Lamar,Kendrick Lamar,3:40
2025-03-01,Ms. Whitman,Bhad Bhabie,Bhad Bhabie,2:06
2025-03-01,Revolving door,Tate McRae,Tate McRae,3:00
2025-03-01,Por Esos Ojos,Fuerza Regida,Fuerza Regida,3:08
2025-03-01,TATTOO,Tito Double P,Tito Double P,2:47
2025-03-01,Loco,Neton Vega,Neton Vega,3:06
2025-03-01,Little Things,Ella Mai,Ella Mai,2:52
2025-03-01,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-01,squabble up,Kendrick Lamar,Kendrick Lamar,2:37
2025-03-01,Sports car,Tate McRae,Tate McRae,2:45
2025-03-01,ME JALO,Fuerza Regida,Fuerza Regida,3:32
2025-03-01,DtMF,Bad Bunny,Bad Bunny,3:57
2025-03-01,Timeless,The Weeknd,The Weeknd,4:16
2025-03-01,Pink Pony Club,Chappell Roan,Chappell Roan,4:18
2025-03-01,All The Stars,Kendrick Lamar,Kendrick Lamar,3:52
2025-03-01,I'm The Problem,Morgan Wallen,Morgan Wallen,2:57
2025-03-01,BAILE INoLVIDABLE,Bad Bunny,Bad Bunny,6:07
2025-03-01,DOS DÍAS,Tito Double P,Tito Double P,2:33
2025-03-01,Like That,Future,Future,4:27
