Date,Song Title,Artist,Album,Duration
2025-03-01,SHAOLIN,Seyi Vibez,Seyi Vibez,2:20
2025-03-01,MARIO KART,Seyi Vibez,Seyi Vibez,2:51
2025-03-01,HAPPY SONG,Seyi Vibez,Seyi Vibez,1:59
2025-03-01,Arike,Kunmie,Kunmie,2:04
2025-03-01,WHY LOVE,Asake,Asake,3:30
2025-03-01,Laho,Shallipopi,Shallipopi,2:24
2025-03-01,Update,Burna Boy,Burna Boy,3:27
2025-03-01,Baby (Is It A Crime),Rema,Rema,2:44
2025-03-01,PITY THIS BOY,ODUMODUBLVCK,ODUMODUBLVCK,2:45
2025-03-01,Trenches Luv,T.I BLAZE,T.I BLAZE,3:25
2025-03-01,Venus,Faceless,Faceless,2:19
2025-03-01,who does that? (feat. Bella Shmurda),FOLA,FOLA,2:39
2025-03-01,Joy is Coming,Fido,Fido,3:08
2025-03-01,MMS,Asake,Asake,3:39
2025-03-01,Intro (Going),Tml Vibez,Tml Vibez,3:20
2025-03-01,Pidgin & English,BNXN,BNXN,3:38
2025-03-01,Kese (Dance),Wizkid,Wizkid,2:54
2025-03-01,Fi Kan We Kan,BNXN,BNXN,2:39
2025-03-01,Beamer,T.I BLAZE,T.I BLAZE,2:46
2025-03-01,Bundle By Bundle,Burna Boy,Burna Boy,2:56
2025-03-01,Panic,Ayo Maff,Ayo Maff,2:32
2025-03-01,Bad Girl (feat. Asake),Wizkid,Wizkid,2:54
2025-03-01,Boss,Tml Vibez,Tml Vibez,2:30
2025-03-01,Where I’m from (feat. Seyi Vibez),Tml Vibez,Tml Vibez,2:39
2025-03-01,Hope (feat. Tml Vibez),T.I BLAZE,T.I BLAZE,2:44
