Date,Song Title,Artist,Album,Duration
2025-03-01,VeLDÁ,Bad Bunny,Bad Bunny,3:55
2025-03-01,BAILE INoLVIDABLE,Bad Bunny,Bad Bunny,6:07
2025-03-01,VOY A LLeVARTE PA PR,Bad Bunny,Bad Bunny,2:36
2025-03-01,PPC,ROA,ROA,4:00
2025-03-01,111,Yan Block,Yan Block,2:33
2025-03-01,FANTASÍA,ROA,ROA,3:06
2025-03-01,ETA (feat. Yan Block & Omar Courtz) [RMX],ROA,ROA,7:42
2025-03-01,EX ASS,iZaak,iZaak,2:37
2025-03-01,Tokicha,J Castle,J Castle,2:21
2025-03-01,Insegura,Midnvght,Midnvght,3:11
2025-03-01,MÓNTATE BABY (feat. De La Rose),Myke Towers,Myke Towers,3:25
2025-03-01,Q U E V A S H A C E R H O Y ?,Omar Courtz,Omar Courtz,3:44
2025-03-01,BADDIE,Luar La L,Luar La L,4:54
2025-03-01,Qué Pasaría...,Rauw Alejandro,Rauw Alejandro,3:11
2025-03-01,Palgo,De La Rose,De La Rose,2:38
2025-03-01,Mi Refe,Beéle,Beéle,2:39
2025-03-01,SERIO CON ESE Q,Omar Courtz,Omar Courtz,4:07
2025-03-01,ME GUSTAS CC,ROA,ROA,2:53
2025-03-01,Me Grita,Lunay,Lunay,3:52
2025-03-01,G O D D E S S,Omar Courtz,Omar Courtz,2:35
2025-03-01,SUELTA (feat. Omar Courtz),Myke Towers,Myke Towers,3:25
2025-03-01,Coachella (feat. Midnvght),Sombra PR,Sombra PR,3:18
2025-03-01,Moscow Mule,Bad Bunny,Bad Bunny,4:05
2025-03-01,I Miss You,Beéle,Beéle,2:53
2025-03-01,Khé?,Rauw Alejandro,Rauw Alejandro,3:26
