Date,Song Title,Artist,Album,Duration
2025-03-02,NINAO,GIMS,GIMS,2:47
2025-03-02,Mood,KeBlack,KeBlack,2:51
2025-03-02,CIEL,GIMS,GIMS,3:06
2025-03-02,La Pluie,Franglish,Franglish,3:56
2025-03-02,Pélican,L2B,L2B,2:45
2025-03-02,4 Kampé,Joé Dwèt Filé,Joé Dwèt Filé,3:34
2025-03-02,DIANA,GIMS,GIMS,2:19
2025-03-02,Run,Rim'K,Rim'K,2:59
2025-03-02,Carré OK (feat. GIMS),Soolking,Soolking,2:40
2025-03-02,CARTIER SANTOS,SDM,SDM,3:03
2025-03-02,APT.,ROSÉ,ROSÉ,2:49
2025-03-02,SOIS PAS TIMIDE,GIMS,GIMS,2:45
2025-03-02,SPIDER,GIMS,GIMS,3:08
2025-03-02,DtMF,Bad Bunny,Bad Bunny,3:57
2025-03-02,BABY,GIMS,GIMS,2:35
2025-03-02,Ennemi,Ronisia,Ronisia,2:55
2025-03-02,Feel Good,Charlotte Cardin,Charlotte Cardin,2:43
2025-03-02,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-02,Alpha,Damso,Damso,2:48
2025-03-02,PERFORMANTE,Dinos,Dinos,3:26
2025-03-02,Messy,Lola Young,Lola Young,4:44
2025-03-02,Chambre 04,Dj Kawest,Dj Kawest,2:09
2025-03-02,POUR ELLE,SDM,SDM,2:59
2025-03-02,NANANI NANANA,Gazo,Gazo,3:37
2025-03-02,Dolce Camara,Booba,Booba,2:58
