Date,Song Title,Artist,Album,Duration
2025-03-03,Çatma Yarim,Reynmen,Reynmen,2:57
2025-03-03,BİTMİYOR,Ben Fero,Ben Fero,3:24
2025-03-03,SEVMEYİ DENEMEDİN,BLOK3,BLOK3,2:52
2025-03-03,HAVHAVHAV,Lvbel C5,Lvbel C5,2:06
2025-03-03,Ayaza Serdim,Kubilay Karça,Kubilay Karça,3:38
2025-03-03,Gözlerinden Gözlerine,Semicenk,Semicenk,2:56
2025-03-03,Sana Güvenmiyorum (Dedub Sessions),Dedublüman,Dedublüman,3:24
2025-03-03,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-03,APT.,ROSÉ,ROSÉ,2:49
2025-03-03,ÇIKAR BİRİ KARŞIMA,Poizi,Poizi,2:47
2025-03-03,Mendil,Gülden,Gülden,3:34
2025-03-03,Italy Forma,Ati242,Ati242,3:01
2025-03-03,kAHpE,Lvbel C5,Lvbel C5,2:21
2025-03-03,Canın Beni Çekti,Melike Şahin,Melike Şahin,3:13
2025-03-03,DURULDUM,Era7capone,Era7capone,2:04
2025-03-03,São Paulo,The Weeknd,The Weeknd,5:01
2025-03-03,Fırtınam,Hadise,Hadise,3:12
2025-03-03,Neon,UZI,UZI,2:31
2025-03-03,Kufi,Duman,Duman,4:25
2025-03-03,Sönen Sigaralar,Ati242,Ati242,3:31
2025-03-03,Değişmene Rağmen,Ati242,Ati242,3:05
2025-03-03,Önümüz Yaz,Simge,Simge,3:01
2025-03-03,UYUZ,BLOK3,BLOK3,2:47
2025-03-03,KARANLIK,Yung Kafa & Kücük Efendi,Yung Kafa & Kücük Efendi,2:54
2025-03-03,Bekleyenim,Aleyna Tilki,Aleyna Tilki,2:41
