Date,Song Title,Artist,Album,Duration
2025-03-03,Rock This Party,timelesz,timelesz,3:45
2025-03-03,Kaiju,sakanaction,sakanaction,4:12
2025-03-03,Darling,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:40
2025-03-03,Lilac,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:48
2025-03-03,masshiro (pure white),Fujii Kaze,Fujii Kaze,4:54
2025-03-03,Soranji,Mrs. GREEN APPLE,Mrs. GREEN APPLE,5:44
2025-03-03,Run,timelesz,timelesz,3:55
2025-03-03,APT.,ROSÉ,ROSÉ,2:49
2025-03-03,Gyutto,timelesz,timelesz,3:40
2025-03-03,Que Sera Sera,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:32
2025-03-03,Bitter Vacances,Mrs. GREEN APPLE,Mrs. GREEN APPLE,3:18
2025-03-03,Bokuno Koto,Mrs. GREEN APPLE,Mrs. GREEN APPLE,5:21
2025-03-03,Can't we just be cute? -Kawaii Dakejya Damedesuka?,CUTIE STREET,CUTIE STREET,4:11
2025-03-03,familie,Mrs. GREEN APPLE,Mrs. GREEN APPLE,3:42
2025-03-03,Tenbyouno Uta (feat. Sonoko Inoue),Mrs. GREEN APPLE,Mrs. GREEN APPLE,5:07
2025-03-03,Jinseiyugi,timelesz,timelesz,3:01
2025-03-03,Ao To Natsu,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:30
2025-03-03,Kaiju no Hanauta,VAUNDY,VAUNDY,3:44
2025-03-03,Miss Luxury,YZERR,YZERR,4:33
2025-03-03,Whiplash,aespa,aespa,3:03
2025-03-03,BOW AND ARROW,Kenshi Yonezu,Kenshi Yonezu,2:55
2025-03-03,Magic,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:23
2025-03-03,Michi Teyu Ku (Overflowing),Fujii Kaze,Fujii Kaze,5:10
2025-03-03,doppelgänger,Creepy Nuts,Creepy Nuts,2:47
2025-03-03,Dance Hall,Mrs. GREEN APPLE,Mrs. GREEN APPLE,3:23
