Date,Song Title,Artist,Album,Duration
2025-03-03,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-03-03,NOKIA,Drake,Drake,4:01
2025-03-03,tv off (feat. Lefty Gunplay),Kendrick Lamar,Kendrick Lamar,3:40
2025-03-03,Por Esos Ojos,Fuerza Regida,Fuerza Regida,3:08
2025-03-03,Loco,Neton Vega,Neton Vega,3:06
2025-03-03,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-03,squabble up,Kendrick Lamar,Kendrick Lamar,2:37
2025-03-03,TATTOO,Tito Double P,Tito Double P,2:47
2025-03-03,30 For 30 (with Kendrick Lamar),SZA,SZA,4:38
2025-03-03,ME JALO,Fuerza Regida,Fuerza Regida,3:32
2025-03-03,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-03,NADIE,Tito Double P,Tito Double P,3:17
2025-03-03,DOS DÍAS,Tito Double P,Tito Double P,2:33
2025-03-03,7 Días,Gabito Ballesteros,Gabito Ballesteros,3:00
2025-03-03,DIE TRYING,PARTYNEXTDOOR,PARTYNEXTDOOR,3:15
2025-03-03,Morena,Neton Vega,Neton Vega,3:13
2025-03-03,APT.,ROSÉ,ROSÉ,2:49
2025-03-03,Tu Boda,Óscar Maydon,Óscar Maydon,3:45
2025-03-03,The Biggest G,EBK Jaaybo,EBK Jaaybo,2:37
2025-03-03,DtMF,Bad Bunny,Bad Bunny,3:57
2025-03-03,Te Quería Ver,Alemán,Alemán,2:56
2025-03-03,M&M,Neton Vega,Neton Vega,2:46
2025-03-03,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-03-03,SOMEBODY LOVES ME,PARTYNEXTDOOR,PARTYNEXTDOOR,3:02
2025-03-03,EL LOKERON,Tito Double P,Tito Double P,2:25
