Date,Song Title,Artist,Album,Duration
2025-03-04,NOKIA,Drake,Drake,4:01
2025-03-04,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-03-04,30 For 30 (with Kendrick Lamar),SZA,SZA,4:38
2025-03-04,GIMME A HUG,Drake,Drake,3:13
2025-03-04,tv off (feat. Lefty Gunplay),Kendrick Lamar,Kendrick Lamar,3:40
2025-03-04,DIE TRYING,PARTYNEXTDOOR,PARTYNEXTDOOR,3:15
2025-03-04,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-04,I'm The Problem,Morgan Wallen,Morgan Wallen,2:57
2025-03-04,squabble up,Kendrick Lamar,Kendrick Lamar,2:37
2025-03-04,Little Things,Ella Mai,Ella Mai,2:52
2025-03-04,Revolving door,Tate McRae,Tate McRae,3:00
2025-03-04,Sports car,Tate McRae,Tate McRae,2:45
2025-03-04,Ms. Whitman,Bhad Bhabie,Bhad Bhabie,2:06
2025-03-04,A N X I E T Y (feat. Doechii),Sleepy Hallow,Sleepy Hallow,2:28
2025-03-04,Heart Of A Woman,Summer Walker,Summer Walker,2:51
2025-03-04,Pink Pony Club,Chappell Roan,Chappell Roan,4:18
2025-03-04,LIKE ME (feat. 42 Dugg & Lil Baby),Future,Future,2:12
2025-03-04,Freestyle,Lil Baby,Lil Baby,2:42
2025-03-04,Timeless,The Weeknd,The Weeknd,4:16
2025-03-04,Like That,Future,Future,4:27
2025-03-04,Proud Of Me,Fridayy,Fridayy,3:50
2025-03-04,Smile,Morgan Wallen,Morgan Wallen,3:44
2025-03-04,In A Minute,Lil Baby,Lil Baby,3:20
2025-03-04,Purple lace bra,Tate McRae,Tate McRae,3:11
2025-03-04,Residuals,Chris Brown,Chris Brown,3:35
