Date,Song Title,Artist,Album,Duration
2025-03-04,Wackelkontakt,Oimara,Oimara,2:48
2025-03-04,tau mich auf,Zartmann,Zartmann,1:50
2025-03-04,APT.,ROSÉ,ROSÉ,2:49
2025-03-04,Wie?,AYLIVA,AYLIVA,2:53
2025-03-04,Baller,Abor & Tynna,Abor & Tynna,2:39
2025-03-04,A N X I E T Y (feat. Doechii),Sleepy Hallow,Sleepy Hallow,2:28
2025-03-04,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-04,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-04,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-03-04,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-03-04,Nie mehr Fastelovend,Querbeat,Querbeat,3:28
2025-03-04,me & you,YAKARY,YAKARY,2:18
2025-03-04,Messy,Lola Young,Lola Young,4:44
2025-03-04,Timeless,The Weeknd,The Weeknd,4:16
2025-03-04,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-03-04,SABÍA QUE NO,reezy,reezy,3:02
2025-03-04,Northside,Sosa La M,Sosa La M,2:33
2025-03-04,The Emptiness Machine,LINKIN PARK,LINKIN PARK,3:10
2025-03-04,Wenn der Himmel weint,Bausa,Bausa,2:08
2025-03-04,Bad Dreams,Teddy Swims,Teddy Swims,3:04
2025-03-04,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-03-04,All The Stars,Kendrick Lamar,Kendrick Lamar,3:52
2025-03-04,Mona Lisa Motion,ZAH1DE,ZAH1DE,2:12
2025-03-04,A Bar Song (Tipsy),Shaboozey,Shaboozey,2:51
