Date,Song Title,Artist,Album,Duration
2025-03-04,PONTE LOKITA,Katteyes,Katteyes,3:03
2025-03-04,Confortas Pero Dañas,Kidd Voodoo,Kidd Voodoo,4:09
2025-03-04,BAILE INoLVIDABLE,Bad Bunny,Bad Bunny,6:07
2025-03-04,WHISKY A LA ROCA,Kidd Voodoo,Kidd Voodoo,2:39
2025-03-04,VeLDÁ,Bad Bunny,Bad Bunny,3:55
2025-03-04,VOY A LLeVARTE PA PR,Bad Bunny,Bad Bunny,2:36
2025-03-04,ÉLITE,Cris MJ,Cris MJ,2:30
2025-03-04,Tiene,Tobal Mj,Tobal Mj,3:45
2025-03-04,"Minnie, Vol. 3",Kidd Voodoo,Kidd Voodoo,3:52
2025-03-04,Angeles,Kidd Voodoo,Kidd Voodoo,3:46
2025-03-04,Grabándote:),Kidd Voodoo,Kidd Voodoo,2:37
2025-03-04,Enrolar (feat. Easykid & Swift 047) [Fantastic Four Remix],Kidd Voodoo,Kidd Voodoo,5:03
2025-03-04,Who,Jimin,Jimin,2:50
2025-03-04,Qué Pasaría...,Rauw Alejandro,Rauw Alejandro,3:11
2025-03-04,capaz (merengueton),Alleh,Alleh,2:53
2025-03-04,Daytona,Cris MJ,Cris MJ,2:53
2025-03-04,Tas Texteándome,Katteyes,Katteyes,2:56
2025-03-04,Mi Refe,Beéle,Beéle,2:39
2025-03-04,Ese Guille,Kidd Voodoo,Kidd Voodoo,2:34
2025-03-04,Recuérdame </3,Kidd Voodoo,Kidd Voodoo,2:37
2025-03-04,Después De La 1,Cris MJ,Cris MJ,2:57
2025-03-04,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-04,"shorty (feat. Gino Mella, King Savagge & Remers)",Jairo Vera,Jairo Vera,6:29
2025-03-04,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-03-04,Moscow Mule,Bad Bunny,Bad Bunny,4:05
