Date,Song Title,Artist,Album,Duration
2025-03-05,APT.,ROSÉ,ROSÉ,2:49
2025-03-05,Lyst Til At Hop',Tempo,Tempo,2:42
2025-03-05,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-05,Blodigt,Anton Westerlin,Anton Westerlin,3:02
2025-03-05,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-05,Sød Ligesom,Otto,Otto,2:38
2025-03-05,Messy,Lola Young,Lola Young,4:44
2025-03-05,Revolving door,Tate McRae,Tate McRae,3:00
2025-03-05,Hallucination,Sissal,Sissal,3:03
2025-03-05,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-03-05,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-03-05,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-03-05,Sports car,Tate McRae,Tate McRae,2:45
2025-03-05,ANXIETY (feat. Doechii),Sleepy Hallow,Sleepy Hallow,2:28
2025-03-05,SAMMEN,Marstein,Marstein,2:58
2025-03-05,Ud Med Regler!,Spasministrene,Spasministrene,2:29
2025-03-05,Luk Mig Ind,Annika,Annika,3:17
2025-03-05,WILDFLOWER,Billie Eilish,Billie Eilish,4:21
2025-03-05,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-03-05,Et sted hvor vi de første,APHACA,APHACA,3:27
2025-03-05,Beautiful Things,Benson Boone,Benson Boone,3:00
2025-03-05,Så længe jeg er sexy.,Annika,Annika,2:30
2025-03-05,All The Stars,Kendrick Lamar,Kendrick Lamar,3:52
2025-03-05,tv off (feat. Lefty Gunplay),Kendrick Lamar,Kendrick Lamar,3:40
