Date,Song Title,Artist,Album,Duration
2025-03-06,tau mich auf,Zartmann,Zartmann,1:50
2025-03-06,Wie?,AYLIVA,AYLIVA,2:53
2025-03-06,Wackelkontakt,Oimara,Oimara,2:48
2025-03-06,APT.,ROSÉ,ROSÉ,2:49
2025-03-06,ANXIETY (feat. Doechii),Sleepy Hallow,Sleepy Hallow,2:28
2025-03-06,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-03-06,Baller,Abor & Tynna,Abor & Tynna,2:39
2025-03-06,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-06,Messy,Lola Young,Lola Young,4:44
2025-03-06,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-06,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-03-06,Mona Lisa Motion,ZAH1DE,ZAH1DE,2:12
2025-03-06,Bad Dreams,Teddy Swims,Teddy Swims,3:04
2025-03-06,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-03-06,Wunder,AYLIVA,AYLIVA,2:56
2025-03-06,me & you,YAKARY,YAKARY,2:18
2025-03-06,Sports car,Tate McRae,Tate McRae,2:45
2025-03-06,Northside,Sosa La M,Sosa La M,2:33
2025-03-06,A Bar Song (Tipsy),Shaboozey,Shaboozey,2:51
2025-03-06,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-03-06,Timeless,The Weeknd,The Weeknd,4:16
2025-03-06,The Emptiness Machine,LINKIN PARK,LINKIN PARK,3:10
2025-03-06,SABÍA QUE NO,reezy,reezy,3:02
2025-03-06,Anxiety,Doechii,Doechii,4:09
