Date,Song Title,Artist,Album,Duration
2025-03-06,Kaiju,sakanaction,sakanaction,4:12
2025-03-06,Lilac,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:48
2025-03-06,Darling,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:40
2025-03-06,Rock This Party,timelesz,timelesz,3:45
2025-03-06,Soranji,Mrs. GREEN APPLE,Mrs. GREEN APPLE,5:44
2025-03-06,APT.,ROSÉ,ROSÉ,2:49
2025-03-06,Que Sera Sera,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:32
2025-03-06,Run,timelesz,timelesz,3:55
2025-03-06,BOW AND ARROW,Kenshi Yonezu,Kenshi Yonezu,2:55
2025-03-06,masshiro (pure white),Fujii Kaze,Fujii Kaze,4:54
2025-03-06,Bitter Vacances,Mrs. GREEN APPLE,Mrs. GREEN APPLE,3:18
2025-03-06,Can't we just be cute? -Kawaii Dakejya Damedesuka?,CUTIE STREET,CUTIE STREET,4:11
2025-03-06,Bokuno Koto,Mrs. GREEN APPLE,Mrs. GREEN APPLE,5:21
2025-03-06,Gyutto,timelesz,timelesz,3:40
2025-03-06,Ao To Natsu,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:30
2025-03-06,Tenbyouno Uta (feat. Sonoko Inoue),Mrs. GREEN APPLE,Mrs. GREEN APPLE,5:07
2025-03-06,Whiplash,aespa,aespa,3:03
2025-03-06,Plazma,Kenshi Yonezu,Kenshi Yonezu,3:00
2025-03-06,Dance Hall,Mrs. GREEN APPLE,Mrs. GREEN APPLE,3:23
2025-03-06,GOD_i,Number_i,Number_i,3:35
2025-03-06,Kaiju no Hanauta,VAUNDY,VAUNDY,3:44
2025-03-06,familie,Mrs. GREEN APPLE,Mrs. GREEN APPLE,3:42
2025-03-06,Magic,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:23
2025-03-06,Start,Mrs. GREEN APPLE,Mrs. GREEN APPLE,3:31
2025-03-06,Ikuokukonen,Omoinotake,Omoinotake,4:36
