Date,Song Title,Artist,Album,Duration
2025-03-07,NOKIA,Drake,Drake,4:01
2025-03-07,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-03-07,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-07,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-07,Timeless,The Weeknd,The Weeknd,4:16
2025-03-07,DIE TRYING,PARTYNEXTDOOR,PARTYNEXTDOOR,3:15
2025-03-07,Revolving door,Tate McRae,Tate McRae,3:00
2025-03-07,WILDFLOWER,Billie Eilish,Billie Eilish,4:21
2025-03-07,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-03-07,ExtraL,JENNIE,JENNIE,2:47
2025-03-07,tv off (feat. Lefty Gunplay),Kendrick Lamar,Kendrick Lamar,3:40
2025-03-07,Sports car,Tate McRae,Tate McRae,2:45
2025-03-07,APT.,ROSÉ,ROSÉ,2:49
2025-03-07,Cry For Me,The Weeknd,The Weeknd,3:44
2025-03-07,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-03-07,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-03-07,São Paulo,The Weeknd,The Weeknd,5:01
2025-03-07,ANXIETY (feat. Doechii),Sleepy Hallow,Sleepy Hallow,2:28
2025-03-07,Anxiety,Doechii,Doechii,4:09
2025-03-07,All The Stars,Kendrick Lamar,Kendrick Lamar,3:52
2025-03-07,Baptized In Fear,The Weeknd,The Weeknd,3:52
2025-03-07,Messy,Lola Young,Lola Young,4:44
2025-03-07,It's ok I'm ok,Tate McRae,Tate McRae,2:36
2025-03-07,Espresso,Sabrina Carpenter,Sabrina Carpenter,2:55
2025-03-07,Open Hearts,The Weeknd,The Weeknd,3:54
