Date,Song Title,Artist,Album,Duration
2025-03-08,like JENNIE,JENNIE,JENNIE,2:03
2025-03-08,The Chase,Hearts2Hearts,Hearts2Hearts,2:58
2025-03-08,Garam & Madu (Sakit Dadaku),Tenxi,Tenxi,3:04
2025-03-08,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-03-08,ExtraL,JENNIE,JENNIE,2:47
2025-03-08,Love Hangover,JENNIE,JENNIE,3:00
2025-03-08,Bunga Maaf,The Lantis,The Lantis,4:12
2025-03-08,Anugerah Terindah,Andmesh,Andmesh,4:42
2025-03-08,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-08,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-03-08,Sialan,Adrian Khalif,Adrian Khalif,4:01
2025-03-08,Nina,.Feast,.Feast,4:37
2025-03-08,WILDFLOWER,Billie Eilish,Billie Eilish,4:21
2025-03-08,blue,yung kai,yung kai,3:34
2025-03-08,APT.,ROSÉ,ROSÉ,2:49
2025-03-08,Backburner,NIKI,NIKI,3:56
2025-03-08,Berharap Pada Timur,Salma Salsabil,Salma Salsabil,3:41
2025-03-08,Lampu Kuning,Juicy Luicy,Juicy Luicy,3:59
2025-03-08,Tanda,Yura Yunita,Yura Yunita,3:27
2025-03-08,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-08,Aku Dah Lupa,MikkyZia,MikkyZia,3:02
2025-03-08,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-03-08,Satu Bulan,Bernadya,Bernadya,3:20
2025-03-08,Sweet Dreams,j-hope,j-hope,2:52
2025-03-08,Tresno Tekan Mati (New Version),NDX A.K.A,NDX A.K.A,4:31
